//Nota: Este archivo de exportación en formato CSV no se debe abrir con un doble clic en el archivo.;;;;
//Por favor, abra este archivo con el comando Archivo > Abrir de MS-Excel;;;;
$_Languages;;;;
8264;Error de tiempo; @5W%t#A02A-SCALANCE_X200-20100120@;Time mismatch; @5W%t#A02A-SCALANCE_X200-20100120@;Erreur d'horloge; @5W%t#A02A-SCALANCE_X200-20100120@;
24648;Ayuda: Error de tiempo; @5W%t#A02A-SCALANCE_X200-20100120@;Help: Time mismatch; @5W%t#A02A-SCALANCE_X200-20100120@;Aide : erreur de temporisation; @5W%t#A02A-SCALANCE_X200-20100120@;
8840;Configuración incoherente/especificación del gateway predeterminado;Inconsistent configuration / specification of the standard gateway;Configuration incohérente/Spécification du routeur par défaut;
25224;Se ha configurado un gateway predeterminado como mínimo para otro interface. Este gateway es distinto de lo especificado para este interface. 
Atención: en este dispositivo no está claro cuál de los gateways predeterminados configurados se utilizará.;A standard gateway has been configured for at least one additional interface that differs from the one specified.
Caution: For this device it is not clear which of the configured standard gateways will be active.;Un autre routeur par défaut a été configuré pour au moins une autre interface. 
Attention : Il n'est pas possible de dire quel routeur par défaut sera utilisé pour cet appareil !;
8841;Configuración/especificación incoherente del nombre de dispositivo;Inconsistent configuration/specification of the NameOfStation;Configuration incohérente/Spécification du NameOfStation;
25225;Para otra interfaz de este módulo ya se ha configurado/asignado un nombre de dispositivo idéntico al especificado para esta interfaz.;A NameOfStation which is identical to the specification for this interface has already been configured/specified for another interface of this module.;Un NameOfStation a déjà été configuré /attribué pour une autre interface de ce module. Il est identique au nom par défaut de cette interface.;
8842;Configuración/especificación incoherente de la dirección IP;Inconsistent configuration/specification of the IP address;Configuration incohérente/Spécification de l'adresse IP;
25226;Para otra interfaz ya se ha configurado/asignado una dirección IP que se encuentra en la misma subred que la dirección IP de esta interfaz.;An IP address which is in the same subnet as the IP address of this interface has already been configured/assigned for another interface.;Une adresse IP a déjà été configurée/attribuée pour une autre interface. Elle se trouve dans le même sous-réseau que l'adresse IP de cette interface.;
9304;sin alimentación el. redundante;No redundant PS;Pas d'alimentation redondante;
25688;Alarma entrante, si no existe alimentación el. redundante;Alarm entering state when there is no redundant PS;Alarme arrivante en l'absence d'alimentation redondante;
9306;No existe C-PLUG;C-PLUG not found;C-PLUG introuvable;
25690;Alarma entrante, si no se ha enchufado C-PLUG;Alarm entering state when no C-PLUG was inserted;Alarme arrivante en l'absence de C-PLUG;
9308;C-PLUG defectuoso;C-PLUG defective;C-PLUG défectueux;
25692;Alarma entrante, si el C-PLUG está defectuoso;Alarm entering state when C-PLUG is defective;Alarme arrivante lorsque le C-PLUG est défectueux;
9310;erróneo C-PLUG;wrong C-PLUG;Le C-PLUG est incorrect;
25694;Alarma entrante si se ha enchufado erróneo C-PLUG;Incoming alarm when wrong C-PLUG is plugged in;Alarme apparaissante si aucun C-PLUG n'a incorrect;
10176;;;;
26560;;;;
10304;Cortocircuito;Short circuit;Court-circuit;
26688;Compruebe el estado de las líneas de conexión.;Check the status of the connection lines.;Contrôlez l'état des câbles de liaison.;
10432;Baja tensión;Low voltage;Sous-tension;
26816;Compruebe la fuente de alimentación.;Verify the power supply.;Contrôlez l'alimentation en tension.;
10560;Sobretensión;Overvoltage;Surtension;
26944;Compruebe la fuente de alimentación.;Verify the power supply.;Contrôlez l'alimentation en tension.;
10688;Sobrecarga;Overload;Surcharge;
27072;Compruebe los datos técnicos de los componentes conectados o la parametrización.;Check the technical specifications of the  connected components and the configuration.;Contrôlez les caractéristiques techniques des composants liés ou le paramétrage.;
10816;Sobretemperatura;Overtemperature;Surchauffe;
27200;Compruebe los datos técnicos de los componentes conectados.;Check the technical specifications of the connected components.;Contrôlez les caractéristiques techniques des composants liés.;
10944;Rotura de hilo;Wire break;Rupture de fil;
27328;Compruebe el estado de las líneas de conexión.;Check the status of the connection lines.;Contrôlez l'état des câbles de liaison.;
11072;Límite superior excedido;High limit exceeded;Limite supérieure dépassée;
27456;Compruebe los datos técnicos de los componentes conectados o la parametrización.;Check the technical specifications of the  connected components and the configuration.;Contrôlez les caractéristiques techniques des composants liés ou le paramétrage.;
11200;Límite inferior excedido;Low limit exceeded;Limite inférieure sous-dépassée;
27584;Compruebe los datos técnicos de los componentes conectados o la parametrización.;Check the technical specifications of the  connected components and the configuration.;Contrôlez les caractéristiques techniques des composants liés ou le paramétrage.;
11328;Fallo;Error;Erreur;
27712;;;;
11456;Simulación activa;Simulation active;Simulation active;
27840;;;;
11584;Reservado;Reserved;réservé;
27968;;;;
11712;Reservado;Reserved;réservé;
28096;;;;
11840;Reservado;Reserved;réservé;
28224;;;;
11968;Reservado;Reserved;réservé;
28352;;;;
12096;Falta el parámetro;Parameter missing;Paramètre manquant;
28480;;;;
12224;Error parametrización;Parameter assignment error;Erreur de paramétrage;
28608;Causa posible: módulo defectuoso o parametrizado incorrectamente. Remedio: corregir parametrización.;Possible Cause: Module either not at all or incorrectly assigned parameters.  Error remedy: Correct the parameter assignment.;Cause possible : Le module n'est pas paramétré ou est mal paramétré.  Solution : corrigez le paramétrage.;
12352;Falta el conector flontal o la alimentación del sensor o la tensión de carga.;Front connector missing, sensor or load voltage missing;Le connecteur frontal, la tension de capteur ou de charge manque.;
28736;Causa posible: falta tensión de alimentación o es insuficiente. Solución: corregir el cableado de proceso. Comprobar tensión de alimentación.;Possible cause: Supply voltage missing or too low.  Remedy: Check front connector. Correct the process wiring. Check the supply voltage.;Cause possible : La tension d'alimentation manque ou est trop basse.  Solution : Vérifier le connecteur frontal. Corriger le câblage au processus. Vérifier la tension d'alimentation.;
12480;Fusible defectuoso.;Fuse defective;Fusible défectueux.;
28864;Causa posible: fallo del fusible repuesto por el operario. Remedio: cambiar fusible.;Possible Cause: User's replaceable fuse fallen.  Error remedy: Exchange the fuse.;Cause possible : Le fusible échangeable par l'utilisateur est tombé.  Solution : Remplacement du fusible.;
12608;Fallo de comunicación;Communication error;Erreur de communication;
28992;Causa posible: interrupción de la comunicación con el módulo. Remedio: comprobar parámetro de dirección.;Possible Cause: Communication to the module interrupted. Error remedy: Check the address parameter.;Cause possible : Communication au module perturbée.  Solution : vérifiez le paramètre de l'adresse.;
12736;Error de masa;Ground error;Erreur de masse;
29120;Causa posible: se ha excedido el modo Common en canales sin separación galvánica o bien rotura del cable de masa en canales con separación galvánica. Remedio: corrección del cableado de proceso.;Possible Cause: Exceeding the allowable common mode at non-isolated channels or chopping the ground line for non-isolated channels. Error remedy: Correct the process wiring.;Cause possible : Dépassement du Common Mode admissible pour les voies liées à la masse ou coupure de la ligne à la masse pour les voies avec séparation galvanique.  Solution : Correction du câblage au processus.;
12864;Error canal referencia;Reference channel error;Erreur sur voie de référence;
29248;Causa posible error en el canal de referencia.  Remedio: comprobar módulo de referencia (2AI RTD ST).;Possible Cause: Error on the reference channel. Error remedy: Check the reference module (2AI RTD ST).;Cause possible : Erreur sur voie de référence.  Solution : vérifiez le module de référence (2AI RTD ST).;
12992;Pérdida alarma de proceso o error de aviso;Process interrupt lost or message error;Alarme de processus perdue ou erreur de message;
29376;Causa posible: error de marco, error de paridad. Remedio: comprobar ajustes de comunicación.;Possible Cause: Frame error, parity error. Error remedy: Check the communication settings.;Cause possible : Erreur de cadre, erreur de parité.  Solution : vérifiez les options de communication.;
13120;Advertencia;Warning;Avertissement;
29504;Causa posible: se han excedido los valores límites de actuador (velocidad, intensidad de carga).  Remedio: corregir concordancia.;Possible Cause: Exceeding the actuator limit value (rotational speed, load current). Error remedy: Correct the tuning.;Cause possible : Dépassement des seuils d'actionneur (vitesse, courant de charge).  Solution : correction de la justesse des paramètres.;
13248;Desconexión;Shutoff;Arrêt;
29632;Causa posible: liberación del interruptor automático por cortocircuito, asimetría o  defecto a tierra, o bien liberación de termistor o Quick-Stop.  Remedio: solución de la causa de desconexión y acusar.;Possible Cause: Trigger a line switch due to short circuit, or asymmetry or ground fault or trigger a Thermistor or Quick Stop. Error remedy: Eliminate the cause of the shutoff and acknowledge.;Cause possible : Déclenchement d'un disjoncteur à cause d'un court-circuit, d'une disymmétrie, d'un défaut à la terre ou déclenchement d'une thermistance ou Quick-Stop.  Solution : supprimez la cause de l'arrêt et acquittez.;
13376;Desconexión de seguridad;Fail-safe shutoff;Arrêt de sécurité;
29760;Causa posible: liberación de desconexión de seguridad.  Remedio: solucionar causa de desconexión y acusar.;Possible Cause: Trigger for fail-safe shutoff is present.  Error remedy: Eliminate the cause of the shutoff and acknowledge.;Cause possible : Présence d'un déclencheur d'arrêt de sécurité.  Solution : corrigez la cause de l'arrêt et acquittez.;
13504;Fallo externo;external error;Erreur externe;
29888;Causa posible: rotura de cable o cortocircuito de la señales de sensor o bien el cable de sensor no está conectado, o bien los ajutes del sensor programable no coinciden con los del módulo. Remedio: cambiar sensor, corregir cableado de proceso, corregir pa;Possible Cause: Wire break or short circuit of the  encoder signal or encoder cable not connected or programmable encoders do not correspond to the settings on the module. Error remedy: exchange the encoder, correct the process wiring, correct the paramete;Cause possible : Rupture de fil ou court-circuit des signaux du capteur ou câble du capteur non raccordé ou capteurs programmables ne correspondent pas aux options sur le module.  Solution : Remplacement du capteur, correction du câblage au processus , cor;
13632;Fallo indefinido;ambiguous error;Erreur indéfinie;
30016;Causa posible: proceso de aprendizaje en curso. Ayuda de ajuste activa (en 4 IQ-SENSE). El error no ha podido especificarse. Remedio: proceso de aprendizaje interrumpido. Cancelar ayuda de ajuste (en 4 IQ-SENSE);Possible Cause: Teach-in process running. Alignment tool is active (for 4 IQ-SENSE). Otherwise, cannot be specified in more detail.  Error remedy: Terminate the Teach-in process. Terminate the alignment tool (for 4 IQ-SENSE);Cause possible : Une procédure d'apprentissage est en cours. Une aide à l'ajustage est active (pour 4 IQ-SENSE). Erreur ne pouvant être spécifiée plus avant.  Solution : mettre fin à l'apprentissage. Mettre fin à l'aide à l'ajustage (pour 4 IQ-SENSE);
13760;Reservado;Reserved;réservé;
30144;;;;
13888;Fallo 1 en actuador / sensor;Fault 1 in actuator/sensor;Erreur 1 dans actionneur / capteur;
30272;;;;
14016;Fallo 2 en actuador / sensor;Fault 2 in actuator/sensor;Erreur 2 dans actionneur / capteur;
30400;;;;
14144;Canal no disponible temporalmente;Channel temporarily not available;Voie temporairement indisponible;
30528;Causa posible: calibración, actualización del firmware, modo manual, ...;Possible cause: Calibration, firmware update, manual operation, ...;Cause possible : Calibrage, mise à jour du firmware, mode manuel ...;
10320;Transferencia de datos imposible; @5W%t#ET200S-20110429@;Data transmission impossible; @5W%t#ET200S-20110429@;Transmission de données impossible; @5W%t#ET200S-20110429@;
26704;Ayuda: Transferencia de datos imposible; @5W%t#ET200S-20110429@;Help: Data transmission impossible; @5W%t#ET200S-20110429@;Aide : transmission de données impossible; @5W%t#ET200S-20110429@;
10384;No hay conexión física en el puerto;No physical connection on port;Pas de connexion physique au port;
26768;Se ha configurado la vigilancia del puerto, pero no hay conexión física en el mismo.
 Causas posibles:
 - No está enchufado ningún cable
 - Cable defectuoso
 - Cable erróneo en la configuración de puerto
 - Dispositivo partner desconectado;Port monitoring was configured, there is however no physical connection on the port.
 Possible causes:
 - No cable plugged in
 - Cable defective
 - Wrong cable with fixed port settings
 - Partner device turned off;Une surveillance de port a été configurée, mais il n'existe pas de connexion physique au port.
 Causes possibles :
 - pas de câble enfiché
 - câble défectueux
 - câble incorrect pour paramètres de port fixes
 - appareil partenaire désactivé;
10385;Error en "Soporte de transferencia/dúplex";Error with "Transfer medium/duplex";Erreur pour "Support de transmission/Duplex";
26769;"Soporte de transferencia / dúplex" se ha configurado; la configuración de puerto determinada actualmente por autonegociación no concuerda con el estándar.
 Causas posibles:
 - El partner utiliza una configuración de puerto estándar diferente
 - El partner;"Transfer medium / duplex" was configured; the current port setting resulting from autonegotiation does not match the configured setting.
 Possible causes:
 - The partner is operating with a fixed but different port setting
 - The partner does not support ;"Support de transmission / Duplex" a été configuré ; la sélection de port déterminée par Autonegotiation ne correspond pas à la configuration.
 Causes possibles :
 - le partenaire fonctionne avec une présélection fixe de port
 - le partenaire ne prend pas ;
10386;Error al comprobar los datos de línea;Error during cable data check;Erreur à la vérification des données de câble;
26770;Causas posibles:
 - La longitud de línea determinada es superior al valor predeterminado en la configuración.
 - El cableado real no se corresponde con la interconexión de puerto configurada.
 - Los datos de línea no se pueden copmrobar porque el partner n;Possible causes:
 - The discovered cable length is longer than the one configured.
 - The actual cabling does not match the configured port interconnection.
 - The cable data could not be checked because the partner does not support cable length measuremen;Causes possibles :
 - La longueur de câble déterminée dépasse celle configurée
 - Le câblage réel ne correspond pas à la connexion du port configurée.
 - Les données de câble ne peuvent pas être contrôlées, car le partenaire ne prend pas en charge la mesur;
10448;Error en el partner; @5W%t#ET200S-20110429@;Remote mismatch; @5W%t#ET200S-20110429@;Erreur partenaire; @5W%t#ET200S-20110429@;
26832;Ayuda: Error en el partner; @5W%t#ET200S-20110429@;Help: Remote mismatch; @5W%t#ET200S-20110429@;Aide : erreur partenaire; @5W%t#ET200S-20110429@;
10512;Partner incorrecto;Wrong partner;Partenaire incorrect;
26896;Se ha configurado una conexión de puerto, pero en el puerto se ha detectado un partner diferente.
Soluciones:
 - Adaptar el cableado de la conexión de puerto configurada
 - Adoptar el nombre de dispositivo del partner en la conexión de puerto;A port interconnection was configured but a different partner was detected at the port.
Remedies:
 - Adapt the cabling of the configured port interconnection
 - Adopt the device name of the partner in the port interconnection;Une connexion de port a été configurée, un autre partenaire a été déterminé pour le port.
Solutions :
 - modifier le câblage de la connexion de port
 - écrire le nom du partenaire dans la connexion de port;
10513;Puerto partner erróneo;Wrong partner port;Port partenaire incorrect;
26897;Se ha configurado una conexión de puerto, pero en el puerto se ha determinado un puerto partner diferente.

 Soluciones:
 - Adaptar el cableado de la conexión de puerto configurada
 - Adaptar la conexión de puerto en la configuración;A port interconnection was configured but a different partner port was detected at the port.

 Remedy:
 - Adapt the cabling of the configured port interconnection
 - Adapt the port interconnection in the configuration;Une connexion de port a été configurée, un autre port partenaire a été déterminée pour le port.

 Solutions :
 - modifier le câblage de la connexion de port configurée
 - modifier la connexion de port dans la configuration;
10514;IRT (Top Performance) no es posible en este puerto;IRT (top performance) not possible at this port;IRT (Top Performance) impossible sur ce port;
26898;Causas posibles:
 - Otros errores de comunicación en este puerto o en el puerto partner impiden el modo IRT (solución: v. otros diagnósticos y corregirlos primero)
 - El puerto partner no está configurado correctamente para el modo IRT, es decir, la config;Possible causes:
 - Other communications errors on this or on the partner port are preventing IRT (remedy: refer to other diagnostic information, eliminate these problems first)
 - Partner port is not correctly configured for IRT mode, i.e. bad or old conf;Causes possibles :
 - Autres erreurs de communication sur ce port ou sur le port partenaire empêchent IRT (solution : voir autres diagnostics, remédier d'abord à ceux-ci)
 - port partenaire configuré incorrect pour le mode IRT, c-à-d. configuration manquan;
10515;Incoherencia en "Soporte de transferencia / dúplex";Inconsistency in "transmission medium / duplex";Incohérence pour "Support de transmission / Duplex";
26899;Se ha configurado el "Medio de transmisión/dúplex"; el ajuste local del puerto no es compatible con el ajuste del puerto partner.
 Causas posibles:
 - el partner utiliza un ajuste fijo diferente
 - Este puerto tiene conectado un convertidor de medios, hub ;"Transmission medium/duplex" was configured; the local setting of the port does not match the setting of the partner port.
 Possible causes:
 - The partner is operating with fixed but different port settings
 - Media converter, hub or non PNIO compliant de;"Support de transmission/Duplex" a été configuré ; les options sélectionnées pour le port ne sont pas compatibles avec celles sélectionnées pour le port partenaire.
 Causes possibles :
 - Le partenaire fonctionne avec des options fixes prédéfinies différen;
10516;Incoherencia en la configuración MRP / cableado;Inconsistent MRP configuration / wiring;Incohérence de la configuration MRP / du câblage;
26900;Se ha configurado un dominio MRP, pero la configuración del puerto local no concuerda con la configuración del puerto partner.
 Causas posibles:
 - Los puertos están mal conectados; se ha conectado un puerto en anillo con otro que no es un puerto en anillo;MRP domain was configured; the local setting of the port does not match the setting of the partner port.
 Possible causes:
 - The ports are incorrectly connected; a ring port was connected to a non-ring port
 - The partner has no or an unsuitable configura;Domaine MRP configuré ; la sélection locale du port ne correspond pas à celle du port partenaire.
 Causes possibles :
 - les ports ne sont pas correctement connectés; un port anneau est connecté à un port non anneau
 - le partenaire n'a pas de configuratio;
10517;Imposible detectar el vecino;The neighbor could not be identified;Le voisin n'a pas pu être détecté;
26901;Se ha configurado una conexión de puerto, en el puerto no se ha detectado exactamente un partner.
 Causas posibles:
 - Este puerto tiene conectado un dispositivo no conforme con PN-IO 
 - La conexión de puerto está configurada pero no hay ningún dispositiv;A port interconnection was configured but a single partner was not detected at the port.
 Possible causes:
 - Non PNIO compliant device connected to this port
 - Port interconnection configured but no device connected or partner device turned off, cable de;Une connexion de port a été configurée, un partenaire précis n'a pas été détecté pour le port.
 Causes possibles :
 - appareil non conforme PN-IO connecté à ce port
 - connexion de port configurée, mais aucun appareil connecté ou appareil partenaire désact;
10518;Incoherencia en la configuración MRRT;Inconsistent MRRT configuration;Incohérence de la configuration MRRT;
26902;Se ha configurado la característica MRRT; el ajuste local del puerto no es compatible con el ajuste del puerto partner.
 Causas posibles:
 - el partner no tiene configuración o su configuración no es apropiada
 - el partner no es compatible con la caracter;The MRRT feature was configured; the local setting of the port does not match the setting of the partner port.
 Possible causes:
 - The partner has no or an unsuitable configuration
 - The partner does not support the MRRT feature;L'attribut MRRT  a été configuré; les options sélectionnées pour le port ne sont pas compatibles avec celles du port partenaire.
 Causes possibles :
 - Le partenaire n'a pas de configuration ou a une configuration incompatible
 - Le partenaire ne prend pas;
10519;Diferencia al determinar la longitud del cable;Difference in cable length measurement;Différence à la détermination de longueur de câble;
26903;Se ha configurado "Soporte de transferencia / dúplex". Ambos partner han detectado longitudes de cable con una diferencia de @2D%1d@ ns. Causas posibles:
 - Uso del convertidor de medios
 - Dispositivo no conforme con PN IO conectado a este puerto

 Soluci;"Transmission medium / Duplex" was configured. The two partners have cable lengths that differ by @2D%1d@ ns. Possible causes may be:
 - Use of media converter
 - Non PN-IO conform device connected to this port

 Remedy: Adapt configuration and select "Aut;"Support de transmission / Duplex" a été configuré. Les deux partenaires ont déterminé des longueurs de câble différentes de @2D%1d@ ns. Des causes possibles sont :
 - Utilisation du convertisseur de supports de transmission
 - Appareil non conforme à PN-I;
10528;El nombre del dominio Sync se utiliza repetidas veces;Sync domain name used more than once;Nom de domaine Sync utilisé plusieurs fois;
26912;En la subred Ethernet se han configurado dos dominios Sync con el mismo nombre.
Solución: Corregir la configuración
- Separar varios dominios Sync mediante fin de Boundaries del dominio Sync (se trata de una recomendación general para limitar la expansión ;Two sync domains with the same name were configured in the Ethernet subnet.
Remedy: Adapt the configuration
- Separate multiple sync domains with end of the sync domain boundaries (this is a basic recommendation to limit the propagation of the multicast fr;Deux domaines Sync de même nom ont été configurés dans le réseau Ethernet.
Solution : modifier la configuration
- séparer plusieurs domaines Sync par des fins de Boundaries (recommandation de principe pour limiter la propagation des télégrammes Multicastfr;
10576;Error de redundancia de medios; @5W%t#ET200S-20110429@;Media redundancy mismatch; @5W%t#ET200S-20110429@;Erreur de redondance de supports de transmission; @5W%t#ET200S-20110429@;
26960;Ayuda: Redundancia de medios; @5W%t#ET200S-20110429@;Help: Media redundancy mismatch; @5W%t#ET200S-20110429@;Aide : erreur de redondance de supports de transmission; @5W%t#ET200S-20110429@;
10640;El manager de redundancia no puede asumir la función configurada.;Redundancy manager cannot adopt the configured role;Le gestionnaire de redondance ne peut pas assumer le rôle configuré.;
27024;Indica que el manager de redundancia asume la función de cliente y que otro manager de redundancia de mayor prioridad se ha hecho cargo de la función de manager y supervisa el anillo.
Solución: configurar la función de cliente en todos los dispositivos que;Indicates that the configured redundancy manager adopts the role of client, another higher-priority redundancy manager has taken over the role of manager and is monitoring the ring.
Remedy: Configure the client role on all devices that are not intended to ;Signifie que le gestionnaire de redondance configuré remplit le rôle de client et qu'un gestionnaire de redondance ayant une plus haute priorité assume le rôle de gestionnaire et surveille l'anneau.
Solution : Configurez pour tous les appareils ne devant p;
10641;Anillo abierto;Ring opened;Anneau ouvert;
27025;Indica que el anillo se ha interrumpido unilateralmente. No se garantiza la redundancia.
Causas posibles:
 - Un cable de unión entre los puertos en anillo está defectuoso.
 Solución: Sustituir el cable de anillo defectuoso;Indicates that the ring has been interrupted. Redundancy is no longer effective.
Possible causes:
 - A connecting cable between ring ports is defective.
 Remedy: Replace defective ring cable;Indique que l'anneau est interrompu unilatéralement. La redondance n'est plus garantie.
Causes possibles :
 - un câble de liaison entre les deux ports anneau est défectueux.
 Solution : remplacer le câble anneau défectueux;
10642;Redundancia RT no garantizada;RT redundancy not effective;Redondance RT plus garantie;
27026;Indica que el anillo para la comunicación RT no está cerrado. Causas posibles:
 - En el anillo se encuentran uno o varios equipos que soportan la redundancia de anillo NRT, pero no la redundancia RT
 - Uno o varios equipos soportan la redundancia RT, pero ;Indicates that the ring is not closed for RT communication. Possible causes:
 - There are one or more stations in the ring that support NRT ring redundancy but not RT redundancy
 - One or more stations support RT redundancy however they were not enabled.
 ;Indique que l'anneau n'est pas fermé pour la communication RT. Causes possibles :
 - une ou plusieurs stations dans l'anneau prennent en charge la redondance NRT mais pas la redondance RT de l'anneau
 - une ou plusieurs stations prennent en charge la redon;
10643;En el anillo se encuentran varios administradores de redundancia;There is more than one redundancy manager in the ring;Il existe plusieurs gestionnaires de redondance au sein de l'anneau;
27027;Indica que en el anillo se encuentran varios dispositivos que asumen la función de manager de redundancia. El estado del anillo es inestable.
Causas posibles:
 En el anillo se encuentra un dispositivo que sólo soporta la función de manager de redundancia j;Indicates that more than one device in the ring adopts the redundancy manager role. The ring status is unstable.
Possible causes:
 There is a device in the ring that only supports the redundancy manager role along with devices with automatic manager/client;Indique que plusieurs appareils assument le rôle de gestionnaire de redondance dans l'anneau. L'état de l'anneau est instable.
Causes possibles :
 au sein de l'anneau se trouve un appareil prenant en charge le rôle de gestionnaire de redondance et des appa;
10704;Pérdida de sincronización; @5W%t#ET200S-20110429@;Sync mismatch; @5W%t#ET200S-20110429@;Perte de synchronisation; @5W%t#ET200S-20110429@;
27088;Ayuda: Pérdida de sincronización; @5W%t#ET200S-20110429@;Help: Sync mismatch; @5W%t#ET200S-20110429@;Aide : perte de synchronisation; @5W%t#ET200S-20110429@;
10768;No se sincroniza el SyncSlave;Sync slave will not be synchronized;L'esclave Sync ne sera pas synchronisé;
27152;El equipo es un SyncSlave y no se sincroniza.
Causas posibles:
 - El SyncMaster no está disponible (solución: conectar el SyncMaster, comprobar el cable)
 - Entre el SyncMaster y este equipo se encuentran dispositivos no aptos para sincronización (solución;The station is a sync slave and it is not synchronized.
Possible causes:
 - The sync master is not available (Remedy: Turn on sync master, check cable)
 - there are devices that are not sync-compliant between the sync master and this station (Remedy: Adapt;La station est un esclave Sync et n'est pas synchronisée.
Causes possibles :
 - le maître Sync n'est pas disponible (solution : activer le maître Sync, contrôler le câble)
 - entre le maître Sync et cette station se trouvent des appareils ne prenant pas en;
10771;Equipo no síncrono;Station not synchronized;Station non synchrone;
27155;La sincronización está fuera del rango de tolerancia; la señal de referencia no es lo suficientemente exacta.
Causas posibles:
 - El equipo se resincroniza; éste es un estado temporal
 - La señal de referencia pierde su precisión necesaria en el tramo de t;Synchronization is outside the range of tolerance; the reference signal is not accurate enough.
Possible causes:
 - Station resynchronizes itself; this is a temporary status
 - The reference signal loses its required accuracy on the transmission path (reme;La synchronisation se trouve hors de la plage de tolérance ; le signal de référence ne possède pas la précision requise.
Causes possibles :
 - la station se synchronise de nouveau; ceci est un état temporaire
 - le signal de référence perd sa précision req;
10832;Error de modo isócrono; @5W%t#ET200S-20110429@;Isochronous mode mismatch; @5W%t#ET200S-20110429@;Erreur de synchronisme d'horloge; @5W%t#ET200S-20110429@;
27216;Ayuda: Error de modo isócrono; @5W%t#ET200S-20110429@;Help: Isochronous mode mismatch; @5W%t#ET200S-20110429@;Aide : erreur de synchronisme d'horloge; @5W%t#ET200S-20110429@;
10960;Error CR multicast; @5W%t#ET200S-20110429@;Multicast CR mismatch; @5W%t#ET200S-20110429@;Erreur Multicast CR; @5W%t#ET200S-20110429@;
27344;Ayuda: Error CR multicast; @5W%t#ET200S-20110429@;Help: Multicast CR mismatch; @5W%t#ET200S-20110429@;Aide : Erreur CR Multicast; @5W%t#ET200S-20110429@;
11088;Reservado; @5W%t#ET200S-20110429@;Reserved; @5W%t#ET200S-20110429@;réservé; @5W%t#ET200S-20110429@;
27472;Ayuda: Ayuda; @5W%t#ET200S-20110429@;Help: Reserved; @5W%t#ET200S-20110429@;Aide : réservée; @5W%t#ET200S-20110429@;
11216;Error fibra óptica; @5W%t#ET200S-20110429@;Fiber optics mismatch; @5W%t#ET200S-20110429@;Erreur fibre optique; @5W%t#ET200S-20110429@;
27600;Ayuda: Error fibra óptica; @5W%t#ET200S-20110429@;Help: Fiber optics mismatch; @5W%t#ET200S-20110429@;Aide : erreur fibre optique; @5W%t#ET200S-20110429@;
11280;Reserva de sistema de fibra óptica crítica;FO link power margin critical;Réserve système FO critique;
27664;La reserva de sistema FO se encuentra por debajo del umbral de @2D%1d@ dB
Solución: limpiar o sustituir el cableado FO inmediatamente;The FO link power margin is below the @2D%1d@ dB threshold
Remedy: Clean or replace the FO cabling immediately;La réserve système FO se trouve en -dessous du seuil @2D%1d@ dB 
Solution : nettoyer ou remplacer le câblage FO;
11344;Error de función del componente de red; @5W%t#ET200S-20110429@;Network component function mismatch; @5W%t#ET200S-20110429@;Erreur de fonctionnement du composant réseau; @5W%t#ET200S-20110429@;
27728;Ayuda: Error de función del componente de red; @5W%t#ET200S-20110429@;Help: Network component function mismatch; @5W%t#ET200S-20110429@;Aide : erreur de fonctionnement du composant réseau; @5W%t#ET200S-20110429@;
11408;Debido a sobrecarga se han rechazado paquetes de datos;Data packets discarded due to overload;Paquets de données rejetés pour surcharge;
27792;Como mínimo @2D%1d@ paquetes de datos han sido rechazados por escasez de recursos.
Causas posibles:
 - Elevada reserva de ancho de banda para IRT y carga NRT adicional (solución: reducir la reserva de ancho de banda)
 - Agrupación de pequeñas cargas de com;At least @2D%1d@ data packets were discarded due to a lack of resources.
Possible causes:
 - High bandwidth reservation for IRT and additional NRT load (Remedy: reduce bandwidth reservation)
 - Bundling of small communication load from various sources on o;@2D%1d@ paquets de données au minimum ont été rejetés en raison d'un manque temporaire de ressources.
Causes possibles :
 - réservation de largeur de bande pour IRT et charge supplémentaire NRT (solution : réserver une largeur de bande moins grande)
 - reg;
11472;Error de tiempo; @5W%t#ET200S-20110429@;Time mismatch; @5W%t#ET200S-20110429@;Erreur d'horloge; @5W%t#ET200S-20110429@;
27856;Ayuda: Error de tiempo; @5W%t#ET200S-20110429@;Help: Time mismatch; @5W%t#ET200S-20110429@;Aide : erreur de temporisation; @5W%t#ET200S-20110429@;
12048;Configuración incoherente/especificación del gateway predeterminado;Inconsistent configuration / specification of the standard gateway;Configuration incohérente/Spécification du routeur par défaut;
28432;Se ha configurado un gateway predeterminado como mínimo para otro interface. Este gateway es distinto de lo especificado para este interface. 
Atención: en este dispositivo no está claro cuál de los gateways predeterminados configurados se utilizará.;A standard gateway has been configured for at least one additional interface that differs from the one specified.
Caution: For this device it is not clear which of the configured standard gateways will be active.;Un autre routeur par défaut a été configuré pour au moins une autre interface. 
Attention : Il n'est pas possible de dire quel routeur par défaut sera utilisé pour cet appareil !;
12049;Configuración/especificación incoherente del nombre de dispositivo;Inconsistent configuration/specification of the NameOfStation;Configuration incohérente/Spécification du NameOfStation;
28433;Para otra interfaz de este módulo ya se ha configurado/asignado un nombre de dispositivo idéntico al especificado para esta interfaz.;A NameOfStation which is identical to the specification for this interface has already been configured/specified for another interface of this module.;Un NameOfStation a déjà été configuré /attribué pour une autre interface de ce module. Il est identique au nom par défaut de cette interface.;
