//Nota: Este archivo de exportación en formato CSV no se debe abrir con un doble clic en el archivo.;;;;
//Por favor, abra este archivo con el comando Archivo > Abrir de MS-Excel;;;;
$_Languages;;;;
7(5) Allemand (Liechtenstein);10(1) Espagnol (traditionnel);9(1) Anglais (États-Unis);12(1) Français (France);
Causes possibles :
 - le maître Sync n'est pas disponible (solution : activer le maître Sync, contrôler le câble)
 - entre le maître Sync et cette station se trouvent des appareils ne prenant pas en;
7635;Equipo no síncrono;Station not synchronized;Station non synchrone;
24019;La sincronización está fuera del rango de tolerancia; la señal de referencia no es lo suficientemente exacta.
Causas posibles:
 - El equipo se resincroniza; éste es un estado temporal
 - La señal de referencia pierde su precisión necesaria en el tramo de t;Synchronization is outside the range of tolerance; the reference signal is not accurate enough.
Possible causes:
 - Station resynchronizes itself; this is a temporary status
 - The reference signal loses its required accuracy on the transmission path (reme;La synchronisation se trouve hors de la plage de tolérance ; le signal de référence ne possède pas la précision requise.
Causes possibles :
 - la station se synchronise de nouveau; ceci est un état temporaire
 - le signal de référence perd sa précision req;
9328;Error de modo isócrono; @5W%t#ET200S-20110429@;Isochronous mode mismatch; @5W%t#ET200S-20110429@;Erreur de synchronisme d'horloge; @5W%t#ET200S-20110429@;
25712;Ayuda: Error de modo isócrono; @5W%t#ET200S-20110429@;Help: Isochronous mode mismatch; @5W%t#ET200S-20110429@;Aide : erreur de synchronisme d'horloge; @5W%t#ET200S-20110429@;
12720;Error CR multicast; @5W%t#ET200S-20110429@;Multicast CR mismatch; @5W%t#ET200S-20110429@;Erreur Multicast CR; @5W%t#ET200S-20110429@;
29104;Ayuda: Error CR multicast; @5W%t#ET200S-20110429@;Help: Multicast CR mismatch; @5W%t#ET200S-20110429@;Aide : Erreur CR Multicast; @5W%t#ET200S-20110429@;
16112;Reservado; @5W%t#ET200S-20110429@;Reserved; @5W%t#ET200S-20110429@;réservé; @5W%t#ET200S-20110429@;
32496;Ayuda: Ayuda; @5W%t#ET200S-20110429@;Help: Reserved; @5W%t#ET200S-20110429@;Aide : réservée; @5W%t#ET200S-20110429@;
3192;Error fibra óptica; @5W%t#ET200S-20110429@;Fiber optics mismatch; @5W%t#ET200S-20110429@;Erreur fibre optique; @5W%t#ET200S-20110429@;
19576;Ayuda: Error fibra óptica; @5W%t#ET200S-20110429@;Help: Fiber optics mismatch; @5W%t#ET200S-20110429@;Aide : erreur fibre optique; @5W%t#ET200S-20110429@;
4888;Reserva de sistema de fibra óptica crítica;FO link power margin critical;Réserve système FO critique;
21272;La reserva de sistema FO se encuentra por debajo del umbral de @2D%1d@ dB
Solución: limpiar o sustituir el cableado FO inmediatamente;The FO link power margin is below the @2D%1d@ dB threshold
Remedy: Clean or replace the FO cabling immediately;La réserve système FO se trouve en -dessous du seuil @2D%1d@ dB 
Solution : nettoyer ou remplacer le câblage FO;
6584;Error de función del componente de red; @5W%t#ET200S-20110429@;Network component function mismatch; @5W%t#ET200S-20110429@;Erreur de fonctionnement du composant réseau; @5W%t#ET200S-20110429@;
22968;Ayuda: Error de función del componente de red; @5W%t#ET200S-20110429@;Help: Network component function mismatch; @5W%t#ET200S-20110429@;Aide : erreur de fonctionnement du composant réseau; @5W%t#ET200S-20110429@;
8280;Debido a sobrecarga se han rechazado paquetes de datos;Data packets discarded due to overload;Paquets de données rejetés pour surcharge;
24664;Como mínimo @2D%1d@ paquetes de datos han sido rechazados por escasez de recursos.
Causas posibles:
 - Elevada reserva de ancho de banda para IRT y carga NRT adicional (solución: reducir la reserva de ancho de banda)
 - Agrupación de pequeñas cargas de com;At least @2D%1d@ data packets were discarded due to a lack of resources.
Possible causes:
 - High bandwidth reservation for IRT and additional NRT load (Remedy: reduce bandwidth reservation)
 - Bundling of small communication load from various sources on o;@2D%1d@ paquets de données au minimum ont été rejetés en raison d'un manque temporaire de ressources.
Causes possibles :
 - réservation de largeur de bande pour IRT et charge supplémentaire NRT (solution : réserver une largeur de bande moins grande)
 - reg;
9976;Error de tiempo; @5W%t#ET200S-20110429@;Time mismatch; @5W%t#ET200S-20110429@;Erreur d'horloge; @5W%t#ET200S-20110429@;
26360;Ayuda: Error de tiempo; @5W%t#ET200S-20110429@;Help: Time mismatch; @5W%t#ET200S-20110429@;Aide : erreur de temporisation; @5W%t#ET200S-20110429@;
8928;Configuración incoherente/especificación del gateway predeterminado;Inconsistent configuration / specification of the standard gateway;Configuration incohérente/Spécification du routeur par défaut;
25312;Se ha configurado un gateway predeterminado como mínimo para otro interface. Este gateway es distinto de lo especificado para este interface. 
Atención: en este dispositivo no está claro cuál de los gateways predeterminados configurados se utilizará.;A standard gateway has been configured for at least one additional interface that differs from the one specified.
Caution: For this device it is not clear which of the configured standard gateways will be active.;Un autre routeur par défaut a été configuré pour au moins une autre interface. 
Attention : Il n'est pas possible de dire quel routeur par défaut sera utilisé pour cet appareil !;
8929;Configuración/especificación incoherente del nombre de dispositivo;Inconsistent configuration/specification of the NameOfStation;Configuration incohérente/Spécification du NameOfStation;
25313;Para otra interfaz de este módulo ya se ha configurado/asignado un nombre de dispositivo idéntico al especificado para esta interfaz.;A NameOfStation which is identical to the specification for this interface has already been configured/specified for another interface of this module.;Un NameOfStation a déjà été configuré /attribué pour une autre interface de ce module. Il est identique au nom par défaut de cette interface.;
8930;Configuración/especificación incoherente de la dirección IP;Inconsistent configuration/specification of the IP address;Configuration incohérente/Spécification de l'adresse IP;
25314;Para otra interfaz ya se ha configurado/asignado una dirección IP que se encuentra en la misma subred que la dirección IP de esta interfaz.;An IP address which is in the same subnet as the IP address of this interface has already been configured/assigned for another interface.;Une adresse IP a déjà été configurée/attribuée pour une autre interface. Elle se trouve dans le même sous-réseau que l'adresse IP de cette interface.;
3968;;;;
20352;;;;
7360;Cortocircuito;Short circuit;Court-circuit;
23744;Compruebe el estado de las líneas de conexión.;Check the status of the connection lines.;Contrôlez l'état des câbles de liaison.;
10752;Baja tensión;Low voltage;Sous-tension;
27136;Compruebe la fuente de alimentación.;Verify the power supply.;Contrôlez l'alimentation en tension.;
14144;Sobretensión;Overvoltage;Surtension;
30528;Compruebe la fuente de alimentación.;Verify the power supply.;Contrôlez l'alimentation en tension.;
1224;Sobrecarga;Overload;Surcharge;
17608;Compruebe los datos técnicos de los componentes conectados o la parametrización.;Check the technical specifications of the  connected components and the configuration.;Contrôlez les caractéristiques techniques des composants liés ou le paramétrage.;
4616;Sobretemperatura;Overtemperature;Surchauffe;
21000;Compruebe los datos técnicos de los componentes conectados.;Check the technical specifications of the connected components.;Contrôlez les caractéristiques techniques des composants liés.;
8008;Rotura de hilo;Wire break;Rupture de fil;
24392;Compruebe el estado de las líneas de conexión.;Check the status of the connection lines.;Contrôlez l'état des câbles de liaison.;
11400;Límite superior excedido;High limit exceeded;Limite supérieure dépassée;
27784;Compruebe los datos técnicos de los componentes conectados o la parametrización.;Check the technical specifications of the  connected components and the configuration.;Contrôlez les caractéristiques techniques des composants liés ou le paramétrage.;
14792;Límite inferior excedido;Low limit exceeded;Limite inférieure sous-dépassée;
31176;Compruebe los datos técnicos de los componentes conectados o la parametrización.;Check the technical specifications of the  connected components and the configuration.;Contrôlez les caractéristiques techniques des composants liés ou le paramétrage.;
1872;Fallo;Error;Erreur;
18256;;;;
5264;Simulación activa;Simulation active;Simulation active;
21648;;;;
8656;Reservado;Reserved;réservé;
25040;;;;
12048;Reservado;Reserved;réservé;
28432;;;;
15440;Reservado;Reserved;réservé;
31824;;;;
2520;Reservado;Reserved;réservé;
18904;;;;
5912;Falta el parámetro;Parameter missing;Paramètre manquant;
22296;;;;
9304;Error de parametrización;parameter assignment error;Erreur de paramétrage;
25688;Error de parametrización;parameter assignment error;Erreur de paramétrage;
12696;Error de alimentación;Power supply fault;Défaut d'alimentation;
29080;Error de alimentación;Power supply fault;Défaut d'alimentation;
16088;Fusible fundido;fuse blown;Défaut de fusible;
32472;Fusible fundido;fuse blown;Défaut de fusible;
3168;El slot no responde;Slot cannot be addressed;Emplacement non accessible;
19552;Causa: Error de comunicación de diferente origen. Solución: Depende de la causa.;Cause: Communication error with various possible causes. Remedy: Depends on cause.;Cause : erreur de communication à cause multiple. Solution : dépend de la cause.;
6560;Error de masa;ground fault;Défaut de masse;
22944;Error de masa;ground fault;Défaut de masse;
9952;Punto de referencia perdido;reference point lost;Point de référence perdu;
26336;Punto de referencia perdido;reference point lost;Point de référence perdu;
13344;Evento de proceso perdido / error de exploración;process event lost / sampling error;Événement process perdu/erreur d'échantillonnage;
29728;Evento de proceso perdido / error de muestreo;process event lost / sampling error;Événement process perdu/erreur d'échantillonnage;
424;Advertencia de valor umbral;threshold warning;Avertissement valeur seuil;
16808;Advertencia de valor umbral;threshold warning;Avertissement valeur seuil;
3816;Salida desactivada;output disabled;Sortie désactivée;
20200;Salida desactivada;output disabled;Sortie désactivée;
7208;Evento de seguridad;safety-related event;Événement relatif à la sécurité;
23592;Evento de seguridad;safety-related event;Événement relatif à la sécurité;
10600;Error externo;external fault;Défaut externe;
26984;Error externo;external fault;Défaut externe;
13992;Error no definido;Unidentified error;Défaut non spécifié;
30376;Causa: No se puede especificar con detalle. Solución: Véase el manual.;Cause: Cannot be specified in greater detail. Remedy: See manual.;Cause : ne peut être spécifiée. Solution : voir le manuel.;
1072;Reservado;Reserved;réservé;
17456;;;;
4464;Fallo 1 en actuador / sensor;Fault 1 in actuator/sensor;Erreur 1 dans actionneur / capteur;
20848;;;;
7856;Fallo 2 en actuador / sensor;Fault 2 in actuator/sensor;Erreur 2 dans actionneur / capteur;
24240;;;;
11248;Fallo temporal;Temporary error;Erreur temporaire;
27632;;;;
9000;Error al comparar la direcciones de destino de PROFIsafe (F_Dest_Add);Mismatch of safety destination address (F_Dest_Add);L'adresse de destination Profisafe (F_Dest_Add) ne concorde pas;
25384;Error de PROFIsafe;Profisafe Error;Défaut Profisafe;
12392;Dirección de destino de PROFIsafe no válida (F_Dest_Add);Safety destination address not valid (F_Dest_Add);Adresse de destination Profisafe (F_Dest_Add) non valide;
28776;Error de PROFIsafe;Profisafe Error;Défaut Profisafe;
15784;Dirección de origen de PROFIsafe no válida (F_Source_Add);Safety source address not valid (F_Source_Add);Adresse de source Profisafe (F_Source_Add) non valide;
32168;Error de PROFIsafe;Profisafe Error;Défaut Profisafe;
2864;El valor del control de tiempo de PROFIsafe es 0ms (F_WD_Time);Safety watchdog time value is 0 ms (F_WD_Time);La durée de surveillance de temps Profisafe est 0 ms (F_WD_Time);
19248;Error de PROFIsafe;Profisafe Error;Défaut Profisafe;
6256;El parámetro F_SIL sobrepasa el nivel de seguridad SIL de la aplicación específica del dispositivo;Parameter F_SIL exceeds SIL from specific device application;Le paramètre F_SIL est supérieur au SIL de l'application spécifique à l'appareil;
22640;Error de PROFIsafe;Profisafe Error;Défaut Profisafe;
9648;El parámetro F_CRC_Length no coincide con el valor generado;Parameter F_CRC_Length does not match the generated values;Le paramètre F_CRC_Length ne concorde pas avec la valeur générée;
26032;Error de PROFIsafe;Profisafe Error;Défaut Profisafe;
13040;La versión del parámetro F no es correcta;Version of F-Parameter set incorrect;Version de paramètres F incorrecte;
29424;Error de PROFIsafe;Profisafe Error;Défaut Profisafe;
120;Error CRC1;CRC1-Fault;Erreur CRC1;
16504;Error de PROFIsafe;Profisafe Error;Défaut Profisafe;
3512;Información de diagnóstico específica del dispositivo (véase el manual);Device specific diagnosis information, see manual;Informations de diagnostic spécifiques à l'appareil (voir manuel);
19896;Error de PROFIsafe;Profisafe Error;Défaut Profisafe;
3056;Tiempo de discrepancia rebasado;Time difference exceeded;Différence de temps dépassée;
19440;Se ha rebasado el tiempo de discrepancia;The time difference has been exceeded;La différence de temps a été dépassée;
3057;-> Parada de emergencia;-> Emergency stop;-> Arrêt d'urgence;
19441;Solucione la causa, accione el pulsador de parada de emergencia y confirme el error;Please rectify cause, press emergency stop and acknowledge;Éliminer la cause, appuyer sur l'arrêt d'urgence et acquitter le défaut;
3058;-> Pulsador de validación;-> Enabling switch;-> Commande d’assentiment;
19442;Solucione la causa, suelte el pulsador de validación y confirme el error;Please rectify cause, release enabling switch and acknowledge;Éliminer la cause, appuyer sur la commande d'assentiment et acquitter le défaut;
3059;-> Señal puertas;-> Door signal;-> Signal porte;
19443;Solucione la causa, abra las puertas y confirme el error;Please rectify cause, open door and acknowledge;Éliminer la cause, ouvrir la porte et acquitter le défaut;
3060;-> Señal cerrojo;-> Bolt signal;-> Signal verrou;
19444;Solucione la causa, abra las puertas y confirme el error;Please rectify cause, open door and acknowledge;Éliminer la cause, ouvrir la porte et acquitter le défaut;
3061;-> Señal bloqueo;-> Guard locking signal;-> Signal interverrouillage;
19445;Solucione la causa, abra las puertas y confirme el error;Please rectify cause, open door and acknowledge;Éliminer la cause, ouvrir la porte et acquitter le défaut;
3062;-> Selector de modo de funcionamiento;-> Operating mode selector switch;-> Sélecteur de mode;
19446;Solucione la causa y confirme el error del selector de modo de funcionamiento;Please rectify cause, acknowledge operating mode selector switch;Éliminer la cause et acquitter le défaut du sélecteur de mode;
3063;Error interno;Internal fault;Défaut interne;
19447;;;;
3480;Error interno;Internal fault;Défaut interne;
19864;;;;
6448;Impulso de prueba erróneo;Fault test pulses;Impulsions de test erronées;
22832;Se ha producido un error con los impulsos de prueba;A fault occurred with the test pulses;Un défaut est survenu au niveau des impulsions de test;
6449;-> Parada de emergencia;-> Emergency stop;-> Arrêt d'urgence;
22833;Solucione la causa y confirme el error;Please rectify cause and acknowledge;Éliminer la cause et acquitter le défaut;
6450;-> Pulsador de validación;-> Enabling switch;-> Commande d’assentiment;
22834;Solucione la causa y confirme el error;Please rectify cause and acknowledge;Éliminer la cause et acquitter le défaut;
6451;-> Señal puertas;-> Door signal;-> Signal porte;
22835;Solucione la causa y confirme el error;Please rectify cause and acknowledge;Éliminer la cause et acquitter le défaut;
6452;-> Señal cerrojo;-> Bolt signal;-> Signal verrou;
22836;Solucione la causa y confirme el error;Please rectify cause and acknowledge;Éliminer la cause et acquitter le défaut;
6453;-> Señal bloqueo;-> Guard locking signal;-> Signal interverrouillage;
22837;Solucione la causa y confirme el error;Please rectify cause and acknowledge;Éliminer la cause et acquitter le défaut;
6454;-> Selector de modo de funcionamiento;-> Operating mode selector switch;-> Sélecteur de mode;
22838;Solucione la causa y confirme el error;Please rectify cause and acknowledge;Éliminer la cause et acquitter le défaut;
6455;Error interno;Internal fault;Défaut interne;
22839;;;;
6872;Error interno;Internal fault;Défaut interne;
23256;;;;
9840;Error de módulo de bloqueo;Fault locking module;Défaut module d'interverrouillage;
26224;Se ha producido un error en el módulo de bloqueo;A fault occurred in the locking module;Un défaut est survenu au niveau du module d'interverrouillage;
9841;Vida de servicio del módulo de bloqueo;Locking module mechanical life;Module d'interverrouillage - durée de vie;
26225;Se han detectado 1 millón de maniobras;1 million operating cycles have been detected;1 million de cycles ont été détectés;
9842;Módulo de bloqueo interno;Locking module internal;Module d'interverrouillage interne;
26226;Se ha detectado un error de procesamiento interno;An internal processing error has been detected;Une erreur de traitement interne a été détectée;
9843;Módulo de bloqueo rotura de cerrojo;Locking module bolt fracture;Module d'interverrouillage - rupture du verrou;
26227;Se ha detectado una rotura del cerrojo;A fracture in the bolt has been detected;Une rupture du verrou a été détectée;
9844;Módulo de bloqueo plausibilidad;Locking module plausibility;Module d'interverrouillage - plausibilité;
26228;La prueba de plausibilidad del cerrojo de las barreras de luz ha dado error;The bolt - light barrier plausibility test was erroneous;Le test de plausibilité verrou - barrière de sécurité était erroné;
9845;Módulo de bloqueo modo de fallo;Locking module fault mode;Module d'interverrouillage - mode défaut;
26229;El módulo de bloqueo funciona en modo de fallo, es decir, las salidas ya no se conectan;The locking module is operating in the fault mode, i.e. the outputs will no longer be switched;Le module de déverrouillage est en mode défaut, càd que les sorties ne sont plus activées;
9846;Error interno;Internal fault;Défaut interne;
26230;;;;
9847;Error interno;Internal fault;Défaut interne;
26231;;;;
10264;Error interno;Internal fault;Défaut interne;
26648;;;;
13232;Error de selector de modo de funcionamiento;Fault operating mode selector switch;Défaut sélecteur de mode;
29616;Se ha producido un error en el selector de modo de funcionamiento;A fault occurred in the operating mode selector switch;Un défaut est survenu au niveau du module sélecteur de mode;
13233;La prueba de plausibilidad del selector de modo de funcionamiento ha dado error;The plausibility test on the operating mode selector switch was erroneous;Le contrôle de plausibilité du sélecteur de mode était erroné;
29617;Solucione la causa y confirme;Please rectify cause and acknowledge;Éliminer la cause et acquitter;
13234;Error interno;Internal fault;Défaut interne;
29618;;;;
13235;Error interno;Internal fault;Défaut interne;
29619;;;;
13236;Error interno;Internal fault;Défaut interne;
29620;;;;
13237;Error interno;Internal fault;Défaut interne;
29621;;;;
13238;Error interno;Internal fault;Défaut interne;
29622;;;;
13239;Error interno;Internal fault;Défaut interne;
29623;;;;
13656;Error interno;Internal fault;Défaut interne;
30040;;;;
312;Error de PROFIsafe;Fault PROFIsafe;Défaut PROFIsafe;
16696;Se ha producido un error relevante para la seguridad;A safety-related fault has occurred;Un défaut relatif à la sécurité est survenu;
313;Error de arranque de PROFIsafe;Starting error PROFIsafe;Erreur de démarrage PROFIsafe;
16697;Se ha producido un error durante el arranque de la pila PROFIsafe;An error occurred on starting the PROFIsafe stack;Un défaut est survenu au démarrage de la pile PROFIsafe;
314;Se ha detectado un error de memoria en RAM;Memory error found in the RAM;Erreur détectée dans la mémoire RAM;
16698;Se ha detectado un error de memoria en RAM;A memory error was found in the RAM;Un défaut a été détecté dans la mémoire RAM;
315;Se ha detectado un error de memoria en FLASH;Memory error found in the FLASH;Erreur détectée dans la mémoire FLASH;
16699;Se ha detectado un error de memoria en FLASH;A memory error was found in the FLASH;Un défaut a été détecté dans la mémoire FLASH;
316;Error de comunicación;communication error;Erreur de communication;
16700;Se ha interrumpido la comunicación entre los 2 procesadores de seguridad;The communication between the 2 safety processors was disrupted;La communication entre les 2 processeurs de sécurité était perturbée;
317;Error de sincronización;Synchronisation error;Erreur de synchronisation;
16701;Se ha interrumpido la sincronización entre los 2 procesadores de seguridad;The synchronisation between the 2 safety processors was disrupted;La synchronisation entre les 2 processeurs de sécurité était perturbée;
318;Error de control de tensión;Wrong voltage detected;Défaut de surveillance de tension;
16702;La alimentación de tensión está fuera del rango permitido;The power supply is outside the permissible range;L'alimentation en tension se situe en dehors de la plage admissible;
319;Error interno;Internal fault;Défaut interne;
16703;Error interno de PROFIsafe;Internal PROFIsafe error;Défaut interne PROFIsafe;
736;Error de hardware;Hardware error;Défaut matériel;
17120;;;;
3704;Error de MGB;Fault MGB;Défaut MGB;
20088;Error interno;Internal fault;Défaut interne;
3705;Error de arranque de MGB;Starting error MGB;Erreur de démarrage MGB;
20089;El arranque de MGB no ha sido correcto;An error occurred on booting the MGB;Défaut lors du démarrage de la MGB;
3706;Error de comunicación;Communication error;Erreur de communication;
20090;Se ha interrumpido la comunicación entre los 2 procesadores de seguridad;The communication between the 2 safety processes was disrupted;La communication entre les 2 processeurs de sécurité était perturbée;
3707;Error interno;Internal fault;Défaut interne;
20091;;;;
3708;Versión de software incorrecta;Wrong software version;Version de logiciel erronée;
20092;;;;
3709;Error interno;Internal fault;Défaut interne;
20093;;;;
3710;Error interno;Internal fault;Défaut interne;
20094;;;;
3711;Error interno;Internal fault;Défaut interne;
20095;;;;
4128;Error interno;Internal fault;Défaut interne;
20512;;;;
7096;Error interno;Internal fault;Défaut interne;
23480;Error interno;Internal fault;Défaut interne;
7097;Error interno;Internal fault;Défaut interne;
23481;;;;
7098;Error interno;Internal fault;Défaut interne;
23482;;;;
7099;Error interno;Internal fault;Défaut interne;
23483;;;;
7100;Error interno;Internal fault;Défaut interne;
23484;;;;
7101;Error interno;Internal fault;Défaut interne;
23485;;;;
7102;Error interno;Internal fault;Défaut interne;
23486;;;;
7103;Error interno;Internal fault;Défaut interne;
23487;;;;
7520;Error interno;Internal fault;Défaut interne;
23904;;;;
10488;Error interno;Internal fault;Défaut interne;
26872;Error interno;Internal fault;Défaut interne;
10489;Error interno;Internal fault;Défaut interne;
26873;;;;
10490;Error interno;Internal fault;Défaut interne;
26874;;;;
10491;Error interno;Internal fault;Défaut interne;
26875;;;;
10492;Error interno;Internal fault;Défaut interne;
26876;;;;
10493;Error interno;Internal fault;Défaut interne;
26877;;;;
10494;Error interno;Internal fault;Défaut interne;
26878;;;;
10495;Error interno;Internal fault;Défaut interne;
26879;;;;
10912;Error interno;Internal fault;Défaut interne;
27296;;;;
13880;Error interno;Internal fault;Défaut interne;
30264;Error interno;Internal fault;Défaut interne;
13881;Error interno;Internal fault;Défaut interne;
30265;;;;
13882;Error interno;Internal fault;Défaut interne;
30266;;;;
13883;Error interno;Internal fault;Défaut interne;
30267;;;;
13884;Error interno;Internal fault;Défaut interne;
30268;;;;
13885;Error interno;Internal fault;Défaut interne;
30269;;;;
13886;Error interno;Internal fault;Défaut interne;
30270;;;;
13887;Error interno;Internal fault;Défaut interne;
30271;;;;
14304;Error interno;Internal fault;Défaut interne;
30688;;;;
960;Error de módulo de bus;error bus modul;Défaut module de bus;
17344;Error interno;Internal fault;Défaut interne;
961;Error interno;Internal fault;Défaut interne;
17345;Error interno;;;
962;Error interno;Internal fault;Défaut interne;
17346;Error interno;;;
963;Error interno;Internal fault;Défaut interne;
17347;Error interno;;;
964;Error interno;Internal fault;Défaut interne;
17348;Error interno;;;
965;Error interno;Internal fault;Défaut interne;
17349;Error interno;;;
966;Error interno;Internal fault;Défaut interne;
17350;Error interno;;;
967;Error interno;Internal fault;Défaut interne;
17351;Error interno;;;
1384;Error interno;Internal fault;Défaut interne;
17768;Error interno;;;
4352;Error de módulo de teclas;error key modul;Défaut module de boutons;
20736;Error interno;Internal fault;Défaut interne;
4353;Error interno;Internal fault;Défaut interne;
20737;;;;
4354;Error interno;Internal fault;Défaut interne;
20738;;;;
4355;Error interno;Internal fault;Défaut interne;
20739;;;;
4356;Error interno;Internal fault;Défaut interne;
20740;;;;
4357;Error interno;Internal fault;Défaut interne;
20741;;;;
4358;Error interno;Internal fault;Défaut interne;
20742;;;;
4359;Error interno;Internal fault;Défaut interne;
20743;;;;
4776;Error interno;Internal fault;Défaut interne;
21160;;;;
7784;Transferencia de datos imposible; @5W%t#Euchner-MGB_110026-20120119@;Data transmission impossible; @5W%t#Euchner-MGB_110026-20120119@;Transmission de données impossible; @5W%t#Euchner-MGB_110026-20120119@;
24168;Ayuda: Transferencia de datos imposible; @5W%t#Euchner-MGB_110026-20120119@;Help: Data transmission impossible; @5W%t#Euchner-MGB_110026-20120119@;Aide : transmission de données impossible; @5W%t#Euchner-MGB_110026-20120119@;
9480;No hay conexión física en el puerto;No physical connection on port;Pas de connexion physique au port;
25864;Se ha configurado la vigilancia del puerto, pero no hay conexión física en el mismo.
 Causas posibles:
 - No está enchufado ningún cable
 - Cable defectuoso
 - Cable erróneo en la configuración de puerto
 - Dispositivo partner desconectado;Port monitoring was configured, there is however no physical connection on the port.
 Possible causes:
 - No cable plugged in
 - Cable defective
 - Wrong cable with fixed port settings
 - Partner device turned off;Une surveillance de port a été configurée, mais il n'existe pas de connexion physique au port.
 Causes possibles :
 - pas de câble enfiché
 - câble défectueux
 - câble incorrect pour paramètres de port fixes
 - appareil partenaire désactivé;
9481;Error en "Soporte de transferencia/dúplex";Error with "Transfer medium/duplex";Erreur pour "Support de transmission/Duplex";
25865;"Soporte de transferencia / dúplex" se ha configurado; la configuración de puerto determinada actualmente por autonegociación no concuerda con el estándar.
 Causas posibles:
 - El partner utiliza una configuración de puerto estándar diferente
 - El partner;"Transfer medium / duplex" was configured; the current port setting resulting from autonegotiation does not match the configured setting.
 Possible causes:
 - The partner is operating with a fixed but different port setting
 - The partner does not support ;"Support de transmission / Duplex" a été configuré ; la sélection de port déterminée par Autonegotiation ne correspond pas à la configuration.
 Causes possibles :
 - le partenaire fonctionne avec une présélection fixe de port
 - le partenaire ne prend pas ;
9482;Error al comprobar los datos de línea;Error during cable data check;Erreur à la vérification des données de câble;
25866;Causas posibles:
 - La longitud de línea determinada es superior al valor predeterminado en la configuración.
 - El cableado real no se corresponde con la interconexión de puerto configurada.
 - Los datos de línea no se pueden copmrobar porque el partner n;Possible causes:
 - The discovered cable length is longer than the one configured.
 - The actual cabling does not match the configured port interconnection.
 - The cable data could not be checked because the partner does not support cable length measuremen;Causes possibles :
 - La longueur de câble déterminée dépasse celle configurée
 - Le câblage réel ne correspond pas à la connexion du port configurée.
 - Les données de câble ne peuvent pas être contrôlées, car le partenaire ne prend pas en charge la mesur;
11176;Error en el partner; @5W%t#Euchner-MGB_110026-20120119@;Remote mismatch; @5W%t#Euchner-MGB_110026-20120119@;Erreur partenaire; @5W%t#Euchner-MGB_110026-20120119@;
27560;Ayuda: Error en el partner; @5W%t#Euchner-MGB_110026-20120119@;Help: Remote mismatch; @5W%t#Euchner-MGB_110026-20120119@;Aide : erreur partenaire; @5W%t#Euchner-MGB_110026-20120119@;
12872;Partner incorrecto;Wrong partner;Partenaire incorrect;
29256;Se ha configurado una conexión de puerto, pero en el puerto se ha detectado un partner diferente.
Soluciones:
 - Adaptar el cableado de la conexión de puerto configurada
 - Adoptar el nombre de dispositivo del partner en la conexión de puerto;A port interconnection was configured but a different partner was detected at the port.
Remedies:
 - Adapt the cabling of the configured port interconnection
 - Adopt the device name of the partner in the port interconnection;Une connexion de port a été configurée, un autre partenaire a été déterminé pour le port.
Solutions :
 - modifier le câblage de la connexion de port
 - écrire le nom du partenaire dans la connexion de port;
12873;Puerto partner erróneo;Wrong partner port;Port partenaire incorrect;
29257;Se ha configurado una conexión de puerto, pero en el puerto se ha determinado un puerto partner diferente.

 Soluciones:
 - Adaptar el cableado de la conexión de puerto configurada
 - Adaptar la conexión de puerto en la configuración;A port interconnection was configured but a different partner port was detected at the port.

 Remedy:
 - Adapt the cabling of the configured port interconnection
 - Adapt the port interconnection in the configuration;Une connexion de port a été configurée, un autre port partenaire a été déterminée pour le port.

 Solutions :
 - modifier le câblage de la connexion de port configurée
 - modifier la connexion de port dans la configuration;
12874;IRT (Top Performance) no es posible en este puerto;IRT (top performance) not possible at this port;IRT (Top Performance) impossible sur ce port;
29258;Causas posibles:
 - Otros errores de comunicación en este puerto o en el puerto partner impiden el modo IRT (solución: v. otros diagnósticos y corregirlos primero)
 - El puerto partner no está configurado correctamente para el modo IRT, es decir, la config;Possible causes:
 - Other communications errors on this or on the partner port are preventing IRT (remedy: refer to other diagnostic information, eliminate these problems first)
 - Partner port is not correctly configured for IRT mode, i.e. bad or old conf;Causes possibles :
 - Autres erreurs de communication sur ce port ou sur le port partenaire empêchent IRT (solution : voir autres diagnostics, remédier d'abord à ceux-ci)
 - port partenaire configuré incorrect pour le mode IRT, c-à-d. configuration manquan;
12875;Incoherencia en "Soporte de transferencia / dúplex";Inconsistency in "transmission medium / duplex";Incohérence pour "Support de transmission / Duplex";
29259;Se ha configurado el "Medio de transmisión/dúplex"; el ajuste local del puerto no es compatible con el ajuste del puerto partner.
 Causas posibles:
 - el partner utiliza un ajuste fijo diferente
 - Este puerto tiene conectado un convertidor de medios, hub ;"Transmission medium/duplex" was configured; the local setting of the port does not match the setting of the partner port.
 Possible causes:
 - The partner is operating with fixed but different port settings
 - Media converter, hub or non PNIO compliant de;"Support de transmission/Duplex" a été configuré ; les options sélectionnées pour le port ne sont pas compatibles avec celles sélectionnées pour le port partenaire.
 Causes possibles :
 - Le partenaire fonctionne avec des options fixes prédéfinies différen;
12876;Incoherencia en la configuración MRP / cableado;Inconsistent MRP configuration / wiring;Incohérence de la configuration MRP / du câblage;
29260;Se ha configurado un dominio MRP, pero la configuración del puerto local no concuerda con la configuración del puerto partner.
 Causas posibles:
 - Los puertos están mal conectados; se ha conectado un puerto en anillo con otro que no es un puerto en anillo;MRP domain was configured; the local setting of the port does not match the setting of the partner port.
