//Nota: Este archivo de exportación en formato CSV no se debe abrir con un doble clic en el archivo.;;;;
//Por favor, abra este archivo con el comando Archivo > Abrir de MS-Excel;;;;
$_Languages;;;;
8928;Configuración incoherente/especificación del gateway predeterminado;Inconsistent configuration / specification of the standard gateway;Configuration incohérente/Spécification du routeur par défaut;
25312;Se ha configurado un gateway predetermin;A standard gateway has been configured f;Un autre routeur par défaut a été config;
8929;Configuración/especificación incoherente del nombre de dispositivo;Inconsistent configuration/specification of the NameOfStation;Configuration incohérente/Spécification du NameOfStation;
25313;Para otra interfaz de este módulo ya se ;A NameOfStation which is identical to th;Un NameOfStation a déjà été configuré /a;
8930;Configuración/especificación incoherente de la dirección IP;Inconsistent configuration/specification of the IP address;Configuration incohérente/Spécification de l'adresse IP;
25314;Para otra interfaz ya se ha configurado/;An IP address which is in the same subne;Une adresse IP a déjà été configurée/att;
3968;;;;
20352;;;;
7360;Cortocircuito;Short circuit;Court-circuit;
23744;Compruebe el estado de las líneas de con;Check the status of the connection lines;Contrôlez l'état des câbles de liaison.;
10752;Baja tensión;Low voltage;Sous-tension;
27136;Compruebe la fuente de alimentación.;Verify the power supply.;Contrôlez l'alimentation en tension.;
14144;Sobretensión;Overvoltage;Surtension;
30528;Compruebe la fuente de alimentación.;Verify the power supply.;Contrôlez l'alimentation en tension.;
1224;Sobrecarga;Overload;Surcharge;
17608;Compruebe los datos técnicos de los comp;Check the technical specifications of th;Contrôlez les caractéristiques technique;
4616;Sobretemperatura;Overtemperature;Surchauffe;
21000;Compruebe los datos técnicos de los comp;Check the technical specifications of th;Contrôlez les caractéristiques technique;
8008;Rotura de hilo;Wire break;Rupture de fil;
24392;Compruebe el estado de las líneas de con;Check the status of the connection lines;Contrôlez l'état des câbles de liaison.;
11400;Límite superior excedido;High limit exceeded;Limite supérieure dépassée;
27784;Compruebe los datos técnicos de los comp;Check the technical specifications of th;Contrôlez les caractéristiques technique;
14792;Límite inferior excedido;Low limit exceeded;Limite inférieure sous-dépassée;
31176;Compruebe los datos técnicos de los comp;Check the technical specifications of th;Contrôlez les caractéristiques technique;
1872;Fallo;Error;Erreur;
18256;;;;
5264;Simulación activa;Simulation active;Simulation active;
21648;;;;
8656;Reservado;Reserved;réservé;
25040;;;;
12048;Reservado;Reserved;réservé;
28432;;;;
15440;Reservado;Reserved;réservé;
31824;;;;
2520;Reservado;Reserved;réservé;
18904;;;;
5912;Falta el parámetro;Parameter missing;Paramètre manquant;
22296;;;;
9304;Error de parametrización;parameter assignment error;Erreur de paramétrage;
25688;Error de parametrización;parameter assignment error;Erreur de paramétrage;
12696;Error de alimentación;Power supply fault;Défaut d'alimentation;
29080;Error de alimentación;Power supply fault;Défaut d'alimentation;
16088;Fusible fundido;fuse blown;Défaut de fusible;
32472;Fusible fundido;fuse blown;Défaut de fusible;
3168;El slot no responde;Slot cannot be addressed;Emplacement non accessible;
19552;Causa: Error de comunicación de diferent;Cause: Communication error with various ;Cause : erreur de communication à cause ;
6560;Error de masa;ground fault;Défaut de masse;
22944;Error de masa;ground fault;Défaut de masse;
9952;Punto de referencia perdido;reference point lost;Point de référence perdu;
26336;Punto de referencia perdido;reference point lost;Point de référence perdu;
13344;Evento de proceso perdido / error de exploración;process event lost / sampling error;Événement process perdu/erreur d'échantillonnage;
29728;Evento de proceso perdido / error de mue;process event lost / sampling error;Événement process perdu/erreur d'échanti;
424;Advertencia de valor umbral;threshold warning;Avertissement valeur seuil;
16808;Advertencia de valor umbral;threshold warning;Avertissement valeur seuil;
3816;Salida desactivada;output disabled;Sortie désactivée;
20200;Salida desactivada;output disabled;Sortie désactivée;
7208;Evento de seguridad;safety-related event;Événement relatif à la sécurité;
23592;Evento de seguridad;safety-related event;Événement relatif à la sécurité;
10600;Error externo;external fault;Défaut externe;
26984;Error externo;external fault;Défaut externe;
13992;Error no definido;Unidentified error;Défaut non spécifié;
30376;Causa: No se puede especificar con detal;Cause: Cannot be specified in greater de;Cause : ne peut être spécifiée. Solution;
1072;Reservado;Reserved;réservé;
17456;;;;
4464;Fallo 1 en actuador / sensor;Fault 1 in actuator/sensor;Erreur 1 dans actionneur / capteur;
20848;;;;
7856;Fallo 2 en actuador / sensor;Fault 2 in actuator/sensor;Erreur 2 dans actionneur / capteur;
24240;;;;
11248;Fallo temporal;Temporary error;Erreur temporaire;
27632;;;;
9000;Error al comparar la direcciones de destino de PROFIsafe (F_Dest_Add);Mismatch of safety destination address (F_Dest_Add);L'adresse de destination Profisafe (F_Dest_Add) ne concorde pas;
25384;Error de PROFIsafe;Profisafe Error;Défaut Profisafe;
12392;Dirección de destino de PROFIsafe no válida (F_Dest_Add);Safety destination address not valid (F_Dest_Add);Adresse de destination Profisafe (F_Dest_Add) non valide;
28776;Error de PROFIsafe;Profisafe Error;Défaut Profisafe;
15784;Dirección de origen de PROFIsafe no válida (F_Source_Add);Safety source address not valid (F_Source_Add);Adresse de source Profisafe (F_Source_Add) non valide;
32168;Error de PROFIsafe;Profisafe Error;Défaut Profisafe;
2864;El valor del control de tiempo de PROFIsafe es 0ms (F_WD_Time);Safety watchdog time value is 0 ms (F_WD_Time);La durée de surveillance de temps Profisafe est 0 ms (F_WD_Time);
19248;Error de PROFIsafe;Profisafe Error;Défaut Profisafe;
6256;El parámetro F_SIL sobrepasa el nivel de seguridad SIL de la aplicación específica del dispositivo;Parameter F_SIL exceeds SIL from specific device application;Le paramètre F_SIL est supérieur au SIL de l'application spécifique à l'appareil;
22640;Error de PROFIsafe;Profisafe Error;Défaut Profisafe;
9648;El parámetro F_CRC_Length no coincide con el valor generado;Parameter F_CRC_Length does not match the generated values;Le paramètre F_CRC_Length ne concorde pas avec la valeur générée;
26032;Error de PROFIsafe;Profisafe Error;Défaut Profisafe;
13040;La versión del parámetro F no es correcta;Version of F-Parameter set incorrect;Version de paramètres F incorrecte;
29424;Error de PROFIsafe;Profisafe Error;Défaut Profisafe;
120;Error CRC1;CRC1-Fault;Erreur CRC1;
16504;Error de PROFIsafe;Profisafe Error;Défaut Profisafe;
3512;Información de diagnóstico específica del dispositivo (véase el manual);Device specific diagnosis information, see manual;Informations de diagnostic spécifiques à l'appareil (voir manuel);
19896;Error de PROFIsafe;Profisafe Error;Défaut Profisafe;
3056;Tiempo de discrepancia rebasado;Time difference exceeded;Différence de temps dépassée;
19440;Se ha rebasado el tiempo de discrepancia;The time difference has been exceeded;La différence de temps a été dépassée;
3057;-> Parada de emergencia;-> Emergency stop;-> Arrêt d'urgence;
19441;Solucione la causa, accione el pulsador ;Please rectify cause, press emergency st;Éliminer la cause, appuyer sur l'arrêt d;
3058;-> Pulsador de validación;-> Enabling switch;-> Commande d’assentiment;
19442;Solucione la causa, suelte el pulsador d;Please rectify cause, release enabling s;Éliminer la cause, appuyer sur la comman;
3059;-> Señal puertas;-> Door signal;-> Signal porte;
19443;Solucione la causa, abra las puertas y c;Please rectify cause, open door and ackn;Éliminer la cause, ouvrir la porte et ac;
3060;-> Señal cerrojo;-> Bolt signal;-> Signal verrou;
19444;Solucione la causa, abra las puertas y c;Please rectify cause, open door and ackn;Éliminer la cause, ouvrir la porte et ac;
3061;-> Señal bloqueo;-> Guard locking signal;-> Signal interverrouillage;
19445;Solucione la causa, abra las puertas y c;Please rectify cause, open door and ackn;Éliminer la cause, ouvrir la porte et ac;
3062;-> Selector de modo de funcionamiento;-> Operating mode selector switch;-> Sélecteur de mode;
19446;Solucione la causa y confirme el error d;Please rectify cause, acknowledge operat;Éliminer la cause et acquitter le défaut;
3063;Error interno;Internal fault;Défaut interne;
19447;;;;
3480;Error interno;Internal fault;Défaut interne;
19864;;;;
6448;Impulso de prueba erróneo;Fault test pulses;Impulsions de test erronées;
22832;Se ha producido un error con los impulso;A fault occurred with the test pulses;Un défaut est survenu au niveau des impu;
6449;-> Parada de emergencia;-> Emergency stop;-> Arrêt d'urgence;
22833;Solucione la causa y confirme el error;Please rectify cause and acknowledge;Éliminer la cause et acquitter le défaut;
6450;-> Pulsador de validación;-> Enabling switch;-> Commande d’assentiment;
22834;Solucione la causa y confirme el error;Please rectify cause and acknowledge;Éliminer la cause et acquitter le défaut;
6451;-> Señal puertas;-> Door signal;-> Signal porte;
22835;Solucione la causa y confirme el error;Please rectify cause and acknowledge;Éliminer la cause et acquitter le défaut;
6452;-> Señal cerrojo;-> Bolt signal;-> Signal verrou;
22836;Solucione la causa y confirme el error;Please rectify cause and acknowledge;Éliminer la cause et acquitter le défaut;
6453;-> Señal bloqueo;-> Guard locking signal;-> Signal interverrouillage;
22837;Solucione la causa y confirme el error;Please rectify cause and acknowledge;Éliminer la cause et acquitter le défaut;
6454;-> Selector de modo de funcionamiento;-> Operating mode selector switch;-> Sélecteur de mode;
22838;Solucione la causa y confirme el error;Please rectify cause and acknowledge;Éliminer la cause et acquitter le défaut;
6455;Error interno;Internal fault;Défaut interne;
22839;;;;
6872;Error interno;Internal fault;Défaut interne;
23256;;;;
9840;Error de módulo de bloqueo;Fault locking module;Défaut module d'interverrouillage;
26224;Se ha producido un error en el módulo de;A fault occurred in the locking module;Un défaut est survenu au niveau du modul;
9841;Vida de servicio del módulo de bloqueo;Locking module mechanical life;Module d'interverrouillage - durée de vie;
26225;Se han detectado 1 millón de maniobras;1 million operating cycles have been det;1 million de cycles ont été détectés;
9842;Módulo de bloqueo interno;Locking module internal;Module d'interverrouillage interne;
26226;Se ha detectado un error de procesamient;An internal processing error has been de;Une erreur de traitement interne a été d;
9843;Módulo de bloqueo rotura de cerrojo;Locking module bolt fracture;Module d'interverrouillage - rupture du verrou;
26227;Se ha detectado una rotura del cerrojo;A fracture in the bolt has been detected;Une rupture du verrou a été détectée;
9844;Módulo de bloqueo plausibilidad;Locking module plausibility;Module d'interverrouillage - plausibilité;
26228;La prueba de plausibilidad del cerrojo d;The bolt - light barrier plausibility te;Le test de plausibilité verrou - barrièr;
9845;Módulo de bloqueo modo de fallo;Locking module fault mode;Module d'interverrouillage - mode défaut;
26229;El módulo de bloqueo funciona en modo de;The locking module is operating in the f;Le module de déverrouillage est en mode ;
9846;Error interno;Internal fault;Défaut interne;
26230;;;;
9847;Error interno;Internal fault;Défaut interne;
26231;;;;
10264;Error interno;Internal fault;Défaut interne;
26648;;;;
13232;Error de selector de modo de funcionamiento;Fault operating mode selector switch;Défaut sélecteur de mode;
29616;Se ha producido un error en el selector ;A fault occurred in the operating mode s;Un défaut est survenu au niveau du modul;
13233;La prueba de plausibilidad del selector de modo de funcionamiento ha dado error;The plausibility test on the operating mode selector switch was erroneous;Le contrôle de plausibilité du sélecteur de mode était erroné;
29617;Solucione la causa y confirme;Please rectify cause and acknowledge;Éliminer la cause et acquitter;
13234;Error interno;Internal fault;Défaut interne;
29618;;;;
13235;Error interno;Internal fault;Défaut interne;
29619;;;;
13236;Error interno;Internal fault;Défaut interne;
29620;;;;
13237;Error interno;Internal fault;Défaut interne;
29621;;;;
13238;Error interno;Internal fault;Défaut interne;
29622;;;;
13239;Error interno;Internal fault;Défaut interne;
29623;;;;
13656;Error interno;Internal fault;Défaut interne;
30040;;;;
312;Error de PROFIsafe;Fault PROFIsafe;Défaut PROFIsafe;
16696;Se ha producido un error relevante para ;A safety-related fault has occurred;Un défaut relatif à la sécurité est surv;
313;Error de arranque de PROFIsafe;Starting error PROFIsafe;Erreur de démarrage PROFIsafe;
16697;Se ha producido un error durante el arra;An error occurred on starting the PROFIs;Un défaut est survenu au démarrage de la;
314;Se ha detectado un error de memoria en RAM;Memory error found in the RAM;Erreur détectée dans la mémoire RAM;
16698;Se ha detectado un error de memoria en R;A memory error was found in the RAM;Un défaut a été détecté dans la mémoire ;
315;Se ha detectado un error de memoria en FLASH;Memory error found in the FLASH;Erreur détectée dans la mémoire FLASH;
16699;Se ha detectado un error de memoria en F;A memory error was found in the FLASH;Un défaut a été détecté dans la mémoire ;
316;Error de comunicación;communication error;Erreur de communication;
16700;Se ha interrumpido la comunicación entre;The communication between the 2 safety p;La communication entre les 2 processeurs;
317;Error de sincronización;Synchronisation error;Erreur de synchronisation;
16701;Se ha interrumpido la sincronización ent;The synchronisation between the 2 safety;La synchronisation entre les 2 processeu;
318;Error de control de tensión;Wrong voltage detected;Défaut de surveillance de tension;
16702;La alimentación de tensión está fuera de;The power supply is outside the permissi;L'alimentation en tension se situe en de;
319;Error interno;Internal fault;Défaut interne;
16703;Error interno de PROFIsafe;Internal PROFIsafe error;Défaut interne PROFIsafe;
736;Error de hardware;Hardware error;Défaut matériel;
17120;;;;
3704;Error de MGB;Fault MGB;Défaut MGB;
20088;Error interno;Internal fault;Défaut interne;
3705;Error de arranque de MGB;Starting error MGB;Erreur de démarrage MGB;
20089;El arranque de MGB no ha sido correcto;An error occurred on booting the MGB;Défaut lors du démarrage de la MGB;
3706;Error de comunicación;Communication error;Erreur de communication;
20090;Se ha interrumpido la comunicación entre;The communication between the 2 safety p;La communication entre les 2 processeurs;
3707;Error interno;Internal fault;Défaut interne;
20091;;;;
3708;Versión de software incorrecta;Wrong software version;Version de logiciel erronée;
20092;;;;
3709;Error interno;Internal fault;Défaut interne;
20093;;;;
3710;Error interno;Internal fault;Défaut interne;
20094;;;;
3711;Error interno;Internal fault;Défaut interne;
20095;;;;
4128;Error interno;Internal fault;Défaut interne;
20512;;;;
7096;Error interno;Internal fault;Défaut interne;
23480;Error interno;Internal fault;Défaut interne;
7097;Error interno;Internal fault;Défaut interne;
23481;;;;
7098;Error interno;Internal fault;Défaut interne;
23482;;;;
7099;Error interno;Internal fault;Défaut interne;
23483;;;;
7100;Error interno;Internal fault;Défaut interne;
23484;;;;
7101;Error interno;Internal fault;Défaut interne;
23485;;;;
7102;Error interno;Internal fault;Défaut interne;
23486;;;;
7103;Error interno;Internal fault;Défaut interne;
23487;;;;
7520;Error interno;Internal fault;Défaut interne;
23904;;;;
10488;Error interno;Internal fault;Défaut interne;
26872;Error interno;Internal fault;Défaut interne;
10489;Error interno;Internal fault;Défaut interne;
26873;;;;
10490;Error interno;Internal fault;Défaut interne;
26874;;;;
10491;Error interno;Internal fault;Défaut interne;
26875;;;;
10492;Error interno;Internal fault;Défaut interne;
26876;;;;
10493;Error interno;Internal fault;Défaut interne;
26877;;;;
10494;Error interno;Internal fault;Défaut interne;
26878;;;;
10495;Error interno;Internal fault;Défaut interne;
26879;;;;
10912;Error interno;Internal fault;Défaut interne;
27296;;;;
13880;Error interno;Internal fault;Défaut interne;
30264;Error interno;Internal fault;Défaut interne;
13881;Error interno;Internal fault;Défaut interne;
30265;;;;
13882;Error interno;Internal fault;Défaut interne;
30266;;;;
13883;Error interno;Internal fault;Défaut interne;
30267;;;;
13884;Error interno;Internal fault;Défaut interne;
30268;;;;
13885;Error interno;Internal fault;Défaut interne;
30269;;;;
13886;Error interno;Internal fault;Défaut interne;
30270;;;;
13887;Error interno;Internal fault;Défaut interne;
30271;;;;
14304;Error interno;Internal fault;Défaut interne;
30688;;;;
960;Error de módulo de bus;error bus modul;Défaut module de bus;
17344;Error interno;Internal fault;Défaut interne;
961;Error interno;Internal fault;Défaut interne;
17345;Error interno;;;
962;Error interno;Internal fault;Défaut interne;
17346;Error interno;;;
963;Error interno;Internal fault;Défaut interne;
17347;Error interno;;;
964;Error interno;Internal fault;Défaut interne;
17348;Error interno;;;
965;Error interno;Internal fault;Défaut interne;
17349;Error interno;;;
966;Error interno;Internal fault;Défaut interne;
17350;Error interno;;;
967;Error interno;Internal fault;Défaut interne;
17351;Error interno;;;
1384;Error interno;Internal fault;Défaut interne;
17768;Error interno;;;
4352;Error de módulo de teclas;error key modul;Défaut module de boutons;
20736;Error interno;Internal fault;Défaut interne;
4353;Error interno;Internal fault;Défaut interne;
20737;;;;
4354;Error interno;Internal fault;Défaut interne;
20738;;;;
4355;Error interno;Internal fault;Défaut interne;
20739;;;;
4356;Error interno;Internal fault;Défaut interne;
20740;;;;
4357;Error interno;Internal fault;Défaut interne;
20741;;;;
4358;Error interno;Internal fault;Défaut interne;
20742;;;;
4359;Error interno;Internal fault;Défaut interne;
20743;;;;
4776;Error interno;Internal fault;Défaut interne;
21160;;;;
7784;Transferencia de datos imposible; @5W%t#Euchner-MGB_110026-20120119@;Data transmission impossible; @5W%t#Euchner-MGB_110026-20120119@;Transmission de données impossible; @5W%t#Euchner-MGB_110026-20120119@;
24168;Ayuda: Transferencia de datos imposible;;Help: Data transmission impossible; @5W%;Aide : transmission de données impossibl;
9480;No hay conexión física en el puerto;No physical connection on port;Pas de connexion physique au port;
25864;Se ha configurado la vigilancia del puer;Port monitoring was configured, there is;Une surveillance de port a été configuré;
9481;Error en "Soporte de transferencia/dúplex";Error with "Transfer medium/duplex";Erreur pour "Support de transmission/Duplex";
25865;"Soporte de transferencia / dúplex" se h;"Transfer medium / duplex" was configure;"Support de transmission / Duplex" a été;
9482;Error al comprobar los datos de línea;Error during cable data check;Erreur à la vérification des données de câble;
25866;Causas posibles:
 - La longitud de línea;Possible causes:
 - The discovered cable;Causes possibles :
 - La longueur de câb;
11176;Error en el partner; @5W%t#Euchner-MGB_110026-20120119@;Remote mismatch; @5W%t#Euchner-MGB_110026-20120119@;Erreur partenaire; @5W%t#Euchner-MGB_110026-20120119@;
27560;Ayuda: Error en el partner; @5W%t#Euchne;Help: Remote mismatch; @5W%t#Euchner-MGB;Aide : erreur partenaire; @5W%t#Euchner-;
12872;Partner incorrecto;Wrong partner;Partenaire incorrect;
29256;Se ha configurado una conexión de puerto;A port interconnection was configured bu;Une connexion de port a été configurée, ;
12873;Puerto partner erróneo;Wrong partner port;Port partenaire incorrect;
29257;Se ha configurado una conexión de puerto;A port interconnection was configured bu;Une connexion de port a été configurée, ;
12874;IRT (Top Performance) no es posible en este puerto;IRT (top performance) not possible at this port;IRT (Top Performance) impossible sur ce port;
29258;Causas posibles:
 - Otros errores de com;Possible causes:
 - Other communications;Causes possibles :
 - Autres erreurs de ;
12875;Incoherencia en "Soporte de transferencia / dúplex";Inconsistency in "transmission medium / duplex";Incohérence pour "Support de transmission / Duplex";
29259;Se ha configurado el "Medio de transmisi;"Transmission medium/duplex" was configu;"Support de transmission/Duplex" a été c;
12876;Incoherencia en la configuración MRP / cableado;Inconsistent MRP configuration / wiring;Incohérence de la configuration MRP / du câblage;
29260;Se ha configurado un dominio MRP, pero l;MRP domain was configured; the local set;Domaine MRP configuré ; la sélection loc;
12877;Imposible detectar el vecino;The neighbor could not be identified;Le voisin n'a pas pu être détecté;
29261;Se ha configurado una conexión de puerto;A port interconnection was configured bu;Une connexion de port a été configurée, ;
12878;Incoherencia en la configuración MRRT;Inconsistent MRRT configuration;Incohérence de la configuration MRRT;
29262;Se ha configurado la característica MRRT;The MRRT feature was configured; the loc;L'attribut MRRT  a été configuré; les op;
12879;Diferencia al determinar la longitud del cable;Difference in cable length measurement;Différence à la détermination de longueur de câble;
29263;Se ha configurado "Soporte de transferen;"Transmission medium / Duplex" was confi;"Support de transmission / Duplex" a été;
13296;El nombre del dominio Sync se utiliza repetidas veces;Sync domain name used more than once;Nom de domaine Sync utilisé plusieurs fois;
29680;En la subred Ethernet se han configurado;Two sync domains with the same name were;Deux domaines Sync de même nom ont été c;
14568;Error de redundancia de medios; @5W%t#Euchner-MGB_110026-20120119@;Media redundancy mismatch; @5W%t#Euchner-MGB_110026-20120119@;Erreur de redondance de supports de transmission; @5W%t#Euchner-MGB_110026-20120119@;
30952;Ayuda: Redundancia de medios; @5W%t#Euch;Help: Media redundancy mismatch; @5W%t#E;Aide : erreur de redondance de supports ;
16264;El manager de redundancia no puede asumir la función configurada.;Redundancy manager cannot adopt the configured role;Le gestionnaire de redondance ne peut pas assumer le rôle configuré.;
32648;Indica que el manager de redundancia asu;Indicates that the configured redundancy;Signifie que le gestionnaire de redondan;
16265;Anillo abierto;Ring opened;Anneau ouvert;
32649;Indica que el anillo se ha interrumpido ;Indicates that the ring has been interru;Indique que l'anneau est interrompu unil;
16266;Redundancia RT no garantizada;RT redundancy not effective;Redondance RT plus garantie;
32650;Indica que el anillo para la comunicació;Indicates that the ring is not closed fo;Indique que l'anneau n'est pas fermé pou;
16267;En el anillo se encuentran varios administradores de redundancia;There is more than one redundancy manager in the ring;Il existe plusieurs gestionnaires de redondance au sein de l'anneau;
32651;Indica que en el anillo se encuentran va;Indicates that more than one device in t;Indique que plusieurs appareils assument;
1648;Pérdida de sincronización; @5W%t#Euchner-MGB_110026-20120119@;Sync mismatch; @5W%t#Euchner-MGB_110026-20120119@;Perte de synchronisation; @5W%t#Euchner-MGB_110026-20120119@;
18032;Ayuda: Pérdida de sincronización; @5W%t#;Help: Sync mismatch; @5W%t#Euchner-MGB_1;Aide : perte de synchronisation; @5W%t#E;
3344;No se sincroniza el SyncSlave;Sync slave will not be synchronized;L'esclave Sync ne sera pas synchronisé;
19728;El equipo es un SyncSlave y no se sincro;The station is a sync slave and it is no;La station est un esclave Sync et n'est ;
3347;Equipo no síncrono;Station not synchronized;Station non synchrone;
19731;La sincronización está fuera del rango d;Synchronization is outside the range of ;La synchronisation se trouve hors de la ;
5040;Error de modo isócrono; @5W%t#Euchner-MGB_110026-20120119@;Isochronous mode mismatch; @5W%t#Euchner-MGB_110026-20120119@;Erreur de synchronisme d'horloge; @5W%t#Euchner-MGB_110026-20120119@;
21424;Ayuda: Error de modo isócrono; @5W%t#Euc;Help: Isochronous mode mismatch; @5W%t#E;Aide : erreur de synchronisme d'horloge;;
8432;Error CR multicast; @5W%t#Euchner-MGB_110026-20120119@;Multicast CR mismatch; @5W%t#Euchner-MGB_110026-20120119@;Erreur Multicast CR; @5W%t#Euchner-MGB_110026-20120119@;
24816;Ayuda: Error CR multicast; @5W%t#Euchner;Help: Multicast CR mismatch; @5W%t#Euchn;Aide : Erreur CR Multicast; @5W%t#Euchne;
11824;Reservado; @5W%t#Euchner-MGB_110026-20120119@;Reserved; @5W%t#Euchner-MGB_110026-20120119@;réservé; @5W%t#Euchner-MGB_110026-20120119@;
28208;Ayuda: Ayuda; @5W%t#Euchner-MGB_110026-2;Help: Reserved; @5W%t#Euchner-MGB_110026;Aide : réservée; @5W%t#Euchner-MGB_11002;
15216;Error fibra óptica; @5W%t#Euchner-MGB_110026-20120119@;Fiber optics mismatch; @5W%t#Euchner-MGB_110026-20120119@;Erreur fibre optique; @5W%t#Euchner-MGB_110026-20120119@;
31600;Ayuda: Error fibra óptica; @5W%t#Euchner;Help: Fiber optics mismatch; @5W%t#Euchn;Aide : erreur fibre optique; @5W%t#Euchn;
600;Reserva de sistema de fibra óptica crítica;FO link power margin critical;Réserve système FO critique;
16984;La reserva de sistema FO se encuentra po;The FO link power margin is below the @2;La réserve système FO se trouve en -dess;
2296;Error de función del componente de red; @5W%t#Euchner-MGB_110026-20120119@;Network component function mismatch; @5W%t#Euchner-MGB_110026-20120119@;Erreur de fonctionnement du composant réseau; @5W%t#Euchner-MGB_110026-20120119@;
18680;Ayuda: Error de función del componente d;Help: Network component function mismatc;Aide : erreur de fonctionnement du compo;
3992;Debido a sobrecarga se han rechazado paquetes de datos;Data packets discarded due to overload;Paquets de données rejetés pour surcharge;
20376;Como mínimo @2D%1d@ paquetes de datos ha;At least @2D%1d@ data packets were disca;@2D%1d@ paquets de données au minimum on;
5688;Error de tiempo; @5W%t#Euchner-MGB_110026-20120119@;Time mismatch; @5W%t#Euchner-MGB_110026-20120119@;Erreur d'horloge; @5W%t#Euchner-MGB_110026-20120119@;
22072;Ayuda: Error de tiempo; @5W%t#Euchner-MG;Help: Time mismatch; @5W%t#Euchner-MGB_1;Aide : erreur de temporisation; @5W%t#Eu;
4640;Configuración incoherente/especificación del gateway predeterminado;Inconsistent configuration / specification of the standard gateway;Configuration incohérente/Spécification du routeur par défaut;
21024;Se ha configurado un gateway predetermin;A standard gateway has been configured f;Un autre routeur par défaut a été config;
4641;Configuración/especificación incoherente del nombre de dispositivo;Inconsistent configuration/specification of the NameOfStation;Configuration incohérente/Spécification du NameOfStation;
21025;Para otra interfaz de este módulo ya se ;A NameOfStation which is identical to th;Un NameOfStation a déjà été configuré /a;
4642;Configuración/especificación incoherente de la dirección IP;Inconsistent configuration/specification of the IP address;Configuration incohérente/Spécification de l'adresse IP;
21026;Para otra interfaz ya se ha configurado/;An IP address which is in the same subne;Une adresse IP a déjà été configurée/att;
12816;;;;
29200;;;;
16208;Cortocircuito;Short circuit;Court-circuit;
32592;Compruebe el estado de las líneas de con;Check the status of the connection lines;Contrôlez l'état des câbles de liaison.;
3288;Baja tensión;Low voltage;Sous-tension;
19672;Compruebe la fuente de alimentación.;Verify the power supply.;Contrôlez l'alimentation en tension.;
6680;Sobretensión;Overvoltage;Surtension;
23064;Compruebe la fuente de alimentación.;Verify the power supply.;Contrôlez l'alimentation en tension.;
10072;Sobrecarga;Overload;Surcharge;
26456;Compruebe los datos técnicos de los comp;Check the technical specifications of th;Contrôlez les caractéristiques technique;
13464;Sobretemperatura;Overtemperature;Surchauffe;
29848;Compruebe los datos técnicos de los comp;Check the technical specifications of th;Contrôlez les caractéristiques technique;
544;Rotura de hilo;Wire break;Rupture de fil;
16928;Compruebe el estado de las líneas de con;Check the status of the connection lines;Contrôlez l'état des câbles de liaison.;
3936;Límite superior excedido;High limit exceeded;Limite supérieure dépassée;
20320;Compruebe los datos técnicos de los comp;Check the technical specifications of th;Contrôlez les caractéristiques technique;
7328;Límite inferior excedido;Low limit exceeded;Limite inférieure sous-dépassée;
23712;Compruebe los datos técnicos de los comp;Check the technical specifications of th;Contrôlez les caractéristiques technique;
10720;Fallo;Error;Erreur;
27104;;;;
14112;Simulación activa;Simulation active;Simulation active;
30496;;;;
1192;Reservado;Reserved;réservé;
17576;;;;
4584;Reservado;Reserved;réservé;
20968;;;;
7976;Reservado;Reserved;réservé;
24360;;;;
11368;Reservado;Reserved;réservé;
27752;;;;
14760;Falta el parámetro;Parameter missing;Paramètre manquant;
31144;;;;
1840;Error de parametrización;Parameter assignment error;Erreur de paramétrage;
18224;Causa: Parámetros de módulo incorrectos.;Cause: Bad module parameter. Remedy: Che;Cause : paramètres de module incorrects.;
5232;Falta tensión de sensores o de carga;Power supply fault;Absence de tension capteur ou de charge;
21616;Causa: Falta tensión de carga. Solución:;Cause: No power supply. Remedy: Check wi;Cause : absence de tension d'alimentatio;
8624;Fusible defectuoso;Fuse blown / open;Fusible defectueux;
25008;Causa: Sobrecarga. Solución: Eliminar la;Cause: Overload. Remedy: Remove cause of;Cause : surcharge. Solution : supprimez ;
12016;El slot no responde;Slot cannot be addressed;Emplacement non accessible;
28400;Causa: Error de comunicación de diferent;Cause: Communication error with various ;Cause : erreur de communication à cause ;
15408;Defecto a masa;Ground fault;Défaut à la masse;
31792;Causa: Tensión en modo común rebasada o ;Cause: Common mode voltage exceeded or M;Cause : dépassement de la tension mode c;
2488;Error del canal de referencia;Reference point list;Erreur de voie de référence;
18872;Causa: Error en el canal de referencia. ;Cause: Error on reference channel. Remed;Cause : erreur de voie de référence. Sol;
5880;Alarma de proceso perdida;Process event lost / sampling error;Alarme de processus perdue;
22264;Causa: Alarma de proceso. Solución: Camb;Cause: Hardware interrupt. Remedy: Chang;Cause : alarme de processus. Solution : ;
9272;Advertencia de actuador;Threshold warning;Avertissement actionneur;
25656;Causa: El actuador notifica el rebase de;Cause: Actuator signaling a limit value ;Cause : actionneur signale un dépassemen;
12664;Desconexión de actuador;Output disabled;Coupure actionneur;
29048;Causa: Se ha detectado un problema con e;Cause: Problem detected on actuator. Rem;Cause : problème d'actionneur détecté. S;
16056;Desconexión orientada a seguridad;Safety event;Arrêt de sécurité;
32440;Causa: Se ha detectado un fallo en el ca;Cause: Error detected on channel. Remedy;Cause : erreur de voie détectée. Solutio;
3136;Error externo;External fault;Défaut externe;
