//Nota : Ce fichier d'exportation au format CSV ne doit pas être ouvert par double clic sur le fichier !;;;;
//Veuillez ouvrir ce fichier via la commande de menu Fichier > Ouvrir de MS-Excel;;;;
$_Languages;;;;
2321;Erreur pour "Support de transmission/Duplex";Error en "Soporte de transferencia/dúplex";Error with "Transfer medium/duplex";
18705;"Support de transmission / Duplex" a été configuré ; la sélection de port déterm;"Soporte de transferencia / dúplex" se ha configurado; la configuración de puert;"Transfer medium / duplex" was configured; the current port setting resulting fr;
2322;Erreur à la vérification des données de câble;Error al comprobar los datos de línea;Error during cable data check;
18706;Causes possibles :
 - La longueur de câble déterminée dépasse celle configurée
 ;Causas posibles:
 - La longitud de línea determinada es superior al valor predet;Possible causes:
 - The discovered cable length is longer than the one configure;
2384;Erreur partenaire; @5W%t#ET200S-20110429@;Error en el partner; @5W%t#ET200S-20110429@;Remote mismatch; @5W%t#ET200S-20110429@;
18768;Aide : erreur partenaire; @5W%t#ET200S-20110429@;Ayuda: Error en el partner; @5W%t#ET200S-20110429@;Help: Remote mismatch; @5W%t#ET200S-20110429@;
2448;Partenaire incorrect;Partner incorrecto;Wrong partner;
18832;Une connexion de port a été configurée, un autre partenaire a été déterminé pour;Se ha configurado una conexión de puerto, pero en el puerto se ha detectado un p;A port interconnection was configured but a different partner was detected at th;
2449;Port partenaire incorrect;Puerto partner erróneo;Wrong partner port;
18833;Une connexion de port a été configurée, un autre port partenaire a été déterminé;Se ha configurado una conexión de puerto, pero en el puerto se ha determinado un;A port interconnection was configured but a different partner port was detected ;
2450;IRT (Top Performance) impossible sur ce port;IRT (Top Performance) no es posible en este puerto;IRT (top performance) not possible at this port;
18834;Causes possibles :
 - Autres erreurs de communication sur ce port ou sur le port;Causas posibles:
 - Otros errores de comunicación en este puerto o en el puerto ;Possible causes:
 - Other communications errors on this or on the partner port a;
2451;Incohérence pour "Support de transmission / Duplex";Incoherencia en "Soporte de transferencia / dúplex";Inconsistency in "transmission medium / duplex";
18835;"Support de transmission/Duplex" a été configuré ; les options sélectionnées pou;Se ha configurado el "Medio de transmisión/dúplex"; el ajuste local del puerto n;"Transmission medium/duplex" was configured; the local setting of the port does ;
2452;Incohérence de la configuration MRP / du câblage;Incoherencia en la configuración MRP / cableado;Inconsistent MRP configuration / wiring;
18836;Domaine MRP configuré ; la sélection locale du port ne correspond pas à celle du;Se ha configurado un dominio MRP, pero la configuración del puerto local no conc;MRP domain was configured; the local setting of the port does not match the sett;
2453;Le voisin n'a pas pu être détecté;Imposible detectar el vecino;The neighbor could not be identified;
18837;Une connexion de port a été configurée, un partenaire précis n'a pas été détecté;Se ha configurado una conexión de puerto, en el puerto no se ha detectado exacta;A port interconnection was configured but a single partner was not detected at t;
2454;Incohérence de la configuration MRRT;Incoherencia en la configuración MRRT;Inconsistent MRRT configuration;
18838;L'attribut MRRT  a été configuré; les options sélectionnées pour le port ne sont;Se ha configurado la característica MRRT; el ajuste local del puerto no es compa;The MRRT feature was configured; the local setting of the port does not match th;
2455;Différence à la détermination de longueur de câble;Diferencia al determinar la longitud del cable;Difference in cable length measurement;
18839;"Support de transmission / Duplex" a été configuré. Les deux partenaires ont dét;Se ha configurado "Soporte de transferencia / dúplex". Ambos partner han detecta;"Transmission medium / Duplex" was configured. The two partners have cable lengt;
2464;Nom de domaine Sync utilisé plusieurs fois;El nombre del dominio Sync se utiliza repetidas veces;Sync domain name used more than once;
18848;Deux domaines Sync de même nom ont été configurés dans le réseau Ethernet.
Solut;En la subred Ethernet se han configurado dos dominios Sync con el mismo nombre.
;Two sync domains with the same name were configured in the Ethernet subnet.
Reme;
2512;Erreur de redondance de supports de transmission; @5W%t#ET200S-20110429@;Error de redundancia de medios; @5W%t#ET200S-20110429@;Media redundancy mismatch; @5W%t#ET200S-20110429@;
18896;Aide : erreur de redondance de supports de transmission; @5W%t#ET200S-20110429@;Ayuda: Redundancia de medios; @5W%t#ET200S-20110429@;Help: Media redundancy mismatch; @5W%t#ET200S-20110429@;
2576;Le gestionnaire de redondance ne peut pas assumer le rôle configuré.;El manager de redundancia no puede asumir la función configurada.;Redundancy manager cannot adopt the configured role;
18960;Signifie que le gestionnaire de redondance configuré remplit le rôle de client e;Indica que el manager de redundancia asume la función de cliente y que otro mana;Indicates that the configured redundancy manager adopts the role of client, anot;
2577;Anneau ouvert;Anillo abierto;Ring opened;
18961;Indique que l'anneau est interrompu unilatéralement. La redondance n'est plus ga;Indica que el anillo se ha interrumpido unilateralmente. No se garantiza la redu;Indicates that the ring has been interrupted. Redundancy is no longer effective.;
2578;Redondance RT plus garantie;Redundancia RT no garantizada;RT redundancy not effective;
18962;Indique que l'anneau n'est pas fermé pour la communication RT. Causes possibles ;Indica que el anillo para la comunicación RT no está cerrado. Causas posibles:
 ;Indicates that the ring is not closed for RT communication. Possible causes:
 - ;
2579;Il existe plusieurs gestionnaires de redondance au sein de l'anneau;En el anillo se encuentran varios administradores de redundancia;There is more than one redundancy manager in the ring;
18963;Indique que plusieurs appareils assument le rôle de gestionnaire de redondance d;Indica que en el anillo se encuentran varios dispositivos que asumen la función ;Indicates that more than one device in the ring adopts the redundancy manager ro;
2640;Perte de synchronisation; @5W%t#ET200S-20110429@;Pérdida de sincronización; @5W%t#ET200S-20110429@;Sync mismatch; @5W%t#ET200S-20110429@;
19024;Aide : perte de synchronisation; @5W%t#ET200S-20110429@;Ayuda: Pérdida de sincronización; @5W%t#ET200S-20110429@;Help: Sync mismatch; @5W%t#ET200S-20110429@;
2704;L'esclave Sync ne sera pas synchronisé;No se sincroniza el SyncSlave;Sync slave will not be synchronized;
19088;La station est un esclave Sync et n'est pas synchronisée.
Causes possibles :
 - ;El equipo es un SyncSlave y no se sincroniza.
Causas posibles:
 - El SyncMaster ;The station is a sync slave and it is not synchronized.
Possible causes:
 - The ;
2707;Station non synchrone;Equipo no síncrono;Station not synchronized;
19091;La synchronisation se trouve hors de la plage de tolérance ; le signal de référe;La sincronización está fuera del rango de tolerancia; la señal de referencia no ;Synchronization is outside the range of tolerance; the reference signal is not a;
2768;Erreur de synchronisme d'horloge; @5W%t#ET200S-20110429@;Error de modo isócrono; @5W%t#ET200S-20110429@;Isochronous mode mismatch; @5W%t#ET200S-20110429@;
19152;Aide : erreur de synchronisme d'horloge; @5W%t#ET200S-20110429@;Ayuda: Error de modo isócrono; @5W%t#ET200S-20110429@;Help: Isochronous mode mismatch; @5W%t#ET200S-20110429@;
2896;Erreur Multicast CR; @5W%t#ET200S-20110429@;Error CR multicast; @5W%t#ET200S-20110429@;Multicast CR mismatch; @5W%t#ET200S-20110429@;
19280;Aide : Erreur CR Multicast; @5W%t#ET200S-20110429@;Ayuda: Error CR multicast; @5W%t#ET200S-20110429@;Help: Multicast CR mismatch; @5W%t#ET200S-20110429@;
3024;réservé; @5W%t#ET200S-20110429@;Reservado; @5W%t#ET200S-20110429@;Reserved; @5W%t#ET200S-20110429@;
19408;Aide : réservée; @5W%t#ET200S-20110429@;Ayuda: Ayuda; @5W%t#ET200S-20110429@;Help: Reserved; @5W%t#ET200S-20110429@;
3152;Erreur fibre optique; @5W%t#ET200S-20110429@;Error fibra óptica; @5W%t#ET200S-20110429@;Fiber optics mismatch; @5W%t#ET200S-20110429@;
19536;Aide : erreur fibre optique; @5W%t#ET200S-20110429@;Ayuda: Error fibra óptica; @5W%t#ET200S-20110429@;Help: Fiber optics mismatch; @5W%t#ET200S-20110429@;
3216;Réserve système FO critique;Reserva de sistema de fibra óptica crítica;FO link power margin critical;
19600;La réserve système FO se trouve en -dessous du seuil @2D%1d@ dB 
Solution : nett;La reserva de sistema FO se encuentra por debajo del umbral de @2D%1d@ dB
Soluci;The FO link power margin is below the @2D%1d@ dB threshold
Remedy: Clean or repl;
3280;Erreur de fonctionnement du composant réseau; @5W%t#ET200S-20110429@;Error de función del componente de red; @5W%t#ET200S-20110429@;Network component function mismatch; @5W%t#ET200S-20110429@;
19664;Aide : erreur de fonctionnement du composant réseau; @5W%t#ET200S-20110429@;Ayuda: Error de función del componente de red; @5W%t#ET200S-20110429@;Help: Network component function mismatch; @5W%t#ET200S-20110429@;
3344;Paquets de données rejetés pour surcharge;Debido a sobrecarga se han rechazado paquetes de datos;Data packets discarded due to overload;
19728;@2D%1d@ paquets de données au minimum ont été rejetés en raison d'un manque temp;Como mínimo @2D%1d@ paquetes de datos han sido rechazados por escasez de recurso;At least @2D%1d@ data packets were discarded due to a lack of resources.
Possibl;
3408;Erreur d'horloge; @5W%t#ET200S-20110429@;Error de tiempo; @5W%t#ET200S-20110429@;Time mismatch; @5W%t#ET200S-20110429@;
19792;Aide : erreur de temporisation; @5W%t#ET200S-20110429@;Ayuda: Error de tiempo; @5W%t#ET200S-20110429@;Help: Time mismatch; @5W%t#ET200S-20110429@;
3984;Configuration incohérente/Spécification du routeur par défaut;Configuración incoherente/especificación del gateway predeterminado;Inconsistent configuration / specification of the standard gateway;
20368;Un autre routeur par défaut a été configuré pour au moins une autre interface. 
;Se ha configurado un gateway predeterminado como mínimo para otro interface. Est;A standard gateway has been configured for at least one additional interface tha;
3985;Configuration incohérente/Spécification du NameOfStation;Configuración/especificación incoherente del nombre de dispositivo;Inconsistent configuration/specification of the NameOfStation;
20369;Un NameOfStation a déjà été configuré /attribué pour une autre interface de ce m;Para otra interfaz de este módulo ya se ha configurado/asignado un nombre de dis;A NameOfStation which is identical to the specification for this interface has a;
3986;Configuration incohérente/Spécification de l'adresse IP;Configuración/especificación incoherente de la dirección IP;Inconsistent configuration/specification of the IP address;
20370;Une adresse IP a déjà été configurée/attribuée pour une autre interface. Elle se;Para otra interfaz ya se ha configurado/asignado una dirección IP que se encuent;An IP address which is in the same subnet as the IP address of this interface ha;
7072;;;;
23456;;;;
7200;Court-circuit;Cortocircuito;Short circuit;
23584;Contrôlez l'état des câbles de liaison.;Compruebe el estado de las líneas de conexión.;Check the status of the connection lines.;
7328;Sous-tension;Baja tensión;Low voltage;
23712;Contrôlez l'alimentation en tension.;Compruebe la fuente de alimentación.;Verify the power supply.;
7456;Surtension;Sobretensión;Overvoltage;
23840;Contrôlez l'alimentation en tension.;Compruebe la fuente de alimentación.;Verify the power supply.;
7584;Surcharge;Sobrecarga;Overload;
23968;Contrôlez les caractéristiques techniques des composants liés ou le paramétrage.;Compruebe los datos técnicos de los componentes conectados o la parametrización.;Check the technical specifications of the  connected components and the configur;
7712;Surchauffe;Sobretemperatura;Overtemperature;
24096;Contrôlez les caractéristiques techniques des composants liés.;Compruebe los datos técnicos de los componentes conectados.;Check the technical specifications of the connected components.;
7840;Rupture de fil;Rotura de hilo;Wire break;
24224;Contrôlez l'état des câbles de liaison.;Compruebe el estado de las líneas de conexión.;Check the status of the connection lines.;
7968;Limite supérieure dépassée;Límite superior excedido;High limit exceeded;
24352;Contrôlez les caractéristiques techniques des composants liés ou le paramétrage.;Compruebe los datos técnicos de los componentes conectados o la parametrización.;Check the technical specifications of the  connected components and the configur;
8096;Limite inférieure sous-dépassée;Límite inferior excedido;Low limit exceeded;
24480;Contrôlez les caractéristiques techniques des composants liés ou le paramétrage.;Compruebe los datos técnicos de los componentes conectados o la parametrización.;Check the technical specifications of the  connected components and the configur;
8224;Erreur;Fallo;Error;
24608;;;;
8352;Simulation active;Simulación activa;Simulation active;
24736;;;;
8480;réservé;Reservado;Reserved;
24864;;;;
8608;réservé;Reservado;Reserved;
24992;;;;
8736;réservé;Reservado;Reserved;
25120;;;;
8864;réservé;Reservado;Reserved;
25248;;;;
8992;Paramètre manquant;Falta el parámetro;Parameter missing;
25376;;;;
9120;Erreur de paramétrage;Error de parametrización;Parameter assignment error;
25504;Cause : paramètres de module incorrects. Solution : vérifiez et corrigez les par;Causa: Parámetros de módulo incorrectos. Solución: Comprobar parámetros y correg;Cause: Bad module parameter. Remedy: Check and correct parameter. Then reload.;
9248;Absence de tension capteur ou de charge;Falta tensión de sensores o de carga;Power supply fault;
25632;Cause : absence de tension d'alimentation. Solution : vérifiez le câblage ou bra;Causa: Falta tensión de carga. Solución: Comprobar el cableado o conectar la ali;Cause: No power supply. Remedy: Check wiring or turn on power supply.;
9376;Fusible defectueux;Fusible defectuoso;Fuse blown / open;
25760;Cause : surcharge. Solution : supprimez la cause de la surcharge. Remplacez ensu;Causa: Sobrecarga. Solución: Eliminar la causa de la sobrecarga. Seguidamente su;Cause: Overload. Remedy: Remove cause of overload. The replace fuse.;
9504;Emplacement non accessible;El slot no responde;Slot cannot be addressed;
25888;Cause : erreur de communication à cause multiple. Solution : dépend de la cause.;Causa: Error de comunicación de diferente origen. Solución: Depende de la causa.;Cause: Communication error with various possible causes. Remedy: Depends on caus;
9632;Défaut à la masse;Defecto a masa;Ground fault;
26016;Cause : dépassement de la tension mode commun ou rupture du câble M. Solution : ;Causa: Tensión en modo común rebasada o rotura del cable de masa. Solución: Comp;Cause: Common mode voltage exceeded or M cable disconnected. Remedy: Check wirin;
9760;Erreur de voie de référence;Error del canal de referencia;Reference point list;
26144;Cause : erreur de voie de référence. Solution : voir le manuel.;Causa: Error en el canal de referencia. Solución: Véase el manual.;Cause: Error on reference channel. Remedy: See manual.;
9888;Alarme de processus perdue;Alarma de proceso perdida;Process event lost / sampling error;
26272;Cause : alarme de processus. Solution : modifiez le traitement de l'alarme par l;Causa: Alarma de proceso. Solución: Cambiar el procesamiento de alarmas de la CP;Cause: Hardware interrupt. Remedy: Change interrupt handling of the CPU or chang;
10016;Avertissement actionneur;Advertencia de actuador;Threshold warning;
26400;Cause : actionneur signale un dépassement d'une valeur limite. Solution : vérifi;Causa: El actuador notifica el rebase de un valor límite. Solución: Comprobar la;Cause: Actuator signaling a limit value violation. Remedy: Check interaction of ;
10144;Coupure actionneur;Desconexión de actuador;Output disabled;
26528;Cause : problème d'actionneur détecté. Solution : supprimez la cause du problème;Causa: Se ha detectado un problema con el actuador. Solución: Eliminar la causa.;Cause: Problem detected on actuator. Remedy: Find and eliminate cause.;
10272;Arrêt de sécurité;Desconexión orientada a seguridad;Safety event;
26656;Cause : erreur de voie détectée. Solution : vérifiez la voie et supprimez l'erre;Causa: Se ha detectado un fallo en el canal. Solución: Comprobar el canal y elim;Cause: Error detected on channel. Remedy: Check channel and correct problem..;
10400;Défaut externe;Error externo;External fault;
26784;Cause : Erreur de capteur/actionneur détectée. Solution : remplacez le capteur/a;Causa: Se ha detectado un fallo en el sensor/actuador. Solución: Sustituir el se;Cause: Problem detected on sensor/actuator. Remedy: Replace sensor/actuator or c;
10528;Défaut non spécifié;Error no definido;Unidentified error;
26912;Cause : ne peut être spécifiée. Solution : voir le manuel.;Causa: No se puede especificar con detalle. Solución: Véase el manual.;Cause: Cannot be specified in greater detail. Remedy: See manual.;
10656;réservé;Reservado;Reserved;
27040;;;;
10784;Erreur 1 dans actionneur / capteur;Fallo 1 en actuador / sensor;Fault 1 in actuator/sensor;
27168;;;;
10912;Erreur 2 dans actionneur / capteur;Fallo 2 en actuador / sensor;Fault 2 in actuator/sensor;
27296;;;;
11040;Erreur temporaire;Fallo temporal;Temporary error;
27424;;;;
7216;Transmission de données impossible; @5W%t#ML-V2.25-Festo-CPX-20110809@;Transferencia de datos imposible; @5W%t#ML-V2.25-Festo-CPX-20110809@;Data transmission impossible; @5W%t#ML-V2.25-Festo-CPX-20110809@;
23600;Aide : transmission de données impossible; @5W%t#ML-V2.25-Festo-CPX-20110809@;Ayuda: Transferencia de datos imposible; @5W%t#ML-V2.25-Festo-CPX-20110809@;Help: Data transmission impossible; @5W%t#ML-V2.25-Festo-CPX-20110809@;
7280;Pas de connexion physique au port;No hay conexión física en el puerto;No physical connection on port;
23664;Une surveillance de port a été configurée, mais il n'existe pas de connexion phy;Se ha configurado la vigilancia del puerto, pero no hay conexión física en el mi;Port monitoring was configured, there is however no physical connection on the p;
7281;Erreur pour "Support de transmission/Duplex";Error en "Soporte de transferencia/dúplex";Error with "Transfer medium/duplex";
23665;"Support de transmission / Duplex" a été configuré ; la sélection de port déterm;"Soporte de transferencia / dúplex" se ha configurado; la configuración de puert;"Transfer medium / duplex" was configured; the current port setting resulting fr;
7282;Erreur à la vérification des données de câble;Error al comprobar los datos de línea;Error during cable data check;
23666;Causes possibles :
 - La longueur de câble déterminée dépasse celle configurée
 ;Causas posibles:
 - La longitud de línea determinada es superior al valor predet;Possible causes:
 - The discovered cable length is longer than the one configure;
7344;Erreur partenaire; @5W%t#ML-V2.25-Festo-CPX-20110809@;Error en el partner; @5W%t#ML-V2.25-Festo-CPX-20110809@;Remote mismatch; @5W%t#ML-V2.25-Festo-CPX-20110809@;
23728;Aide : erreur partenaire; @5W%t#ML-V2.25-Festo-CPX-20110809@;Ayuda: Error en el partner; @5W%t#ML-V2.25-Festo-CPX-20110809@;Help: Remote mismatch; @5W%t#ML-V2.25-Festo-CPX-20110809@;
7408;Partenaire incorrect;Partner incorrecto;Wrong partner;
23792;Une connexion de port a été configurée, un autre partenaire a été déterminé pour;Se ha configurado una conexión de puerto, pero en el puerto se ha detectado un p;A port interconnection was configured but a different partner was detected at th;
7409;Port partenaire incorrect;Puerto partner erróneo;Wrong partner port;
23793;Une connexion de port a été configurée, un autre port partenaire a été déterminé;Se ha configurado una conexión de puerto, pero en el puerto se ha determinado un;A port interconnection was configured but a different partner port was detected ;
7410;IRT (Top Performance) impossible sur ce port;IRT (Top Performance) no es posible en este puerto;IRT (top performance) not possible at this port;
23794;Causes possibles :
 - Autres erreurs de communication sur ce port ou sur le port;Causas posibles:
 - Otros errores de comunicación en este puerto o en el puerto ;Possible causes:
 - Other communications errors on this or on the partner port a;
7411;Incohérence pour "Support de transmission / Duplex";Incoherencia en "Soporte de transferencia / dúplex";Inconsistency in "transmission medium / duplex";
23795;"Support de transmission/Duplex" a été configuré ; les options sélectionnées pou;Se ha configurado el "Medio de transmisión/dúplex"; el ajuste local del puerto n;"Transmission medium/duplex" was configured; the local setting of the port does ;
7412;Incohérence de la configuration MRP / du câblage;Incoherencia en la configuración MRP / cableado;Inconsistent MRP configuration / wiring;
23796;Domaine MRP configuré ; la sélection locale du port ne correspond pas à celle du;Se ha configurado un dominio MRP, pero la configuración del puerto local no conc;MRP domain was configured; the local setting of the port does not match the sett;
7413;Le voisin n'a pas pu être détecté;Imposible detectar el vecino;The neighbor could not be identified;
23797;Une connexion de port a été configurée, un partenaire précis n'a pas été détecté;Se ha configurado una conexión de puerto, en el puerto no se ha detectado exacta;A port interconnection was configured but a single partner was not detected at t;
7414;Incohérence de la configuration MRRT;Incoherencia en la configuración MRRT;Inconsistent MRRT configuration;
23798;L'attribut MRRT  a été configuré; les options sélectionnées pour le port ne sont;Se ha configurado la característica MRRT; el ajuste local del puerto no es compa;The MRRT feature was configured; the local setting of the port does not match th;
7415;Différence à la détermination de longueur de câble;Diferencia al determinar la longitud del cable;Difference in cable length measurement;
23799;"Support de transmission / Duplex" a été configuré. Les deux partenaires ont dét;Se ha configurado "Soporte de transferencia / dúplex". Ambos partner han detecta;"Transmission medium / Duplex" was configured. The two partners have cable lengt;
7424;Nom de domaine Sync utilisé plusieurs fois;El nombre del dominio Sync se utiliza repetidas veces;Sync domain name used more than once;
23808;Deux domaines Sync de même nom ont été configurés dans le réseau Ethernet.
Solut;En la subred Ethernet se han configurado dos dominios Sync con el mismo nombre.
;Two sync domains with the same name were configured in the Ethernet subnet.
Reme;
7472;Erreur de redondance de supports de transmission; @5W%t#ML-V2.25-Festo-CPX-20110809@;Error de redundancia de medios; @5W%t#ML-V2.25-Festo-CPX-20110809@;Media redundancy mismatch; @5W%t#ML-V2.25-Festo-CPX-20110809@;
23856;Aide : erreur de redondance de supports de transmission; @5W%t#ML-V2.25-Festo-CP;Ayuda: Redundancia de medios; @5W%t#ML-V2.25-Festo-CPX-20110809@;Help: Media redundancy mismatch; @5W%t#ML-V2.25-Festo-CPX-20110809@;
7536;Le gestionnaire de redondance ne peut pas assumer le rôle configuré.;El manager de redundancia no puede asumir la función configurada.;Redundancy manager cannot adopt the configured role;
23920;Signifie que le gestionnaire de redondance configuré remplit le rôle de client e;Indica que el manager de redundancia asume la función de cliente y que otro mana;Indicates that the configured redundancy manager adopts the role of client, anot;
7537;Anneau ouvert;Anillo abierto;Ring opened;
23921;Indique que l'anneau est interrompu unilatéralement. La redondance n'est plus ga;Indica que el anillo se ha interrumpido unilateralmente. No se garantiza la redu;Indicates that the ring has been interrupted. Redundancy is no longer effective.;
7538;Redondance RT plus garantie;Redundancia RT no garantizada;RT redundancy not effective;
23922;Indique que l'anneau n'est pas fermé pour la communication RT. Causes possibles ;Indica que el anillo para la comunicación RT no está cerrado. Causas posibles:
 ;Indicates that the ring is not closed for RT communication. Possible causes:
 - ;
7539;Il existe plusieurs gestionnaires de redondance au sein de l'anneau;En el anillo se encuentran varios administradores de redundancia;There is more than one redundancy manager in the ring;
23923;Indique que plusieurs appareils assument le rôle de gestionnaire de redondance d;Indica que en el anillo se encuentran varios dispositivos que asumen la función ;Indicates that more than one device in the ring adopts the redundancy manager ro;
7600;Perte de synchronisation; @5W%t#ML-V2.25-Festo-CPX-20110809@;Pérdida de sincronización; @5W%t#ML-V2.25-Festo-CPX-20110809@;Sync mismatch; @5W%t#ML-V2.25-Festo-CPX-20110809@;
23984;Aide : perte de synchronisation; @5W%t#ML-V2.25-Festo-CPX-20110809@;Ayuda: Pérdida de sincronización; @5W%t#ML-V2.25-Festo-CPX-20110809@;Help: Sync mismatch; @5W%t#ML-V2.25-Festo-CPX-20110809@;
7664;L'esclave Sync ne sera pas synchronisé;No se sincroniza el SyncSlave;Sync slave will not be synchronized;
24048;La station est un esclave Sync et n'est pas synchronisée.
Causes possibles :
 - ;El equipo es un SyncSlave y no se sincroniza.
Causas posibles:
 - El SyncMaster ;The station is a sync slave and it is not synchronized.
Possible causes:
 - The ;
7667;Station non synchrone;Equipo no síncrono;Station not synchronized;
24051;La synchronisation se trouve hors de la plage de tolérance ; le signal de référe;La sincronización está fuera del rango de tolerancia; la señal de referencia no ;Synchronization is outside the range of tolerance; the reference signal is not a;
7728;Erreur de synchronisme d'horloge; @5W%t#ML-V2.25-Festo-CPX-20110809@;Error de modo isócrono; @5W%t#ML-V2.25-Festo-CPX-20110809@;Isochronous mode mismatch; @5W%t#ML-V2.25-Festo-CPX-20110809@;
24112;Aide : erreur de synchronisme d'horloge; @5W%t#ML-V2.25-Festo-CPX-20110809@;Ayuda: Error de modo isócrono; @5W%t#ML-V2.25-Festo-CPX-20110809@;Help: Isochronous mode mismatch; @5W%t#ML-V2.25-Festo-CPX-20110809@;
7856;Erreur Multicast CR; @5W%t#ML-V2.25-Festo-CPX-20110809@;Error CR multicast; @5W%t#ML-V2.25-Festo-CPX-20110809@;Multicast CR mismatch; @5W%t#ML-V2.25-Festo-CPX-20110809@;
24240;Aide : Erreur CR Multicast; @5W%t#ML-V2.25-Festo-CPX-20110809@;Ayuda: Error CR multicast; @5W%t#ML-V2.25-Festo-CPX-20110809@;Help: Multicast CR mismatch; @5W%t#ML-V2.25-Festo-CPX-20110809@;
7984;réservé; @5W%t#ML-V2.25-Festo-CPX-20110809@;Reservado; @5W%t#ML-V2.25-Festo-CPX-20110809@;Reserved; @5W%t#ML-V2.25-Festo-CPX-20110809@;
24368;Aide : réservée; @5W%t#ML-V2.25-Festo-CPX-20110809@;Ayuda: Ayuda; @5W%t#ML-V2.25-Festo-CPX-20110809@;Help: Reserved; @5W%t#ML-V2.25-Festo-CPX-20110809@;
8112;Erreur fibre optique; @5W%t#ML-V2.25-Festo-CPX-20110809@;Error fibra óptica; @5W%t#ML-V2.25-Festo-CPX-20110809@;Fiber optics mismatch; @5W%t#ML-V2.25-Festo-CPX-20110809@;
24496;Aide : erreur fibre optique; @5W%t#ML-V2.25-Festo-CPX-20110809@;Ayuda: Error fibra óptica; @5W%t#ML-V2.25-Festo-CPX-20110809@;Help: Fiber optics mismatch; @5W%t#ML-V2.25-Festo-CPX-20110809@;
8176;Réserve système FO critique;Reserva de sistema de fibra óptica crítica;FO link power margin critical;
24560;La réserve système FO se trouve en -dessous du seuil @2D%1d@ dB 
Solution : nett;La reserva de sistema FO se encuentra por debajo del umbral de @2D%1d@ dB
Soluci;The FO link power margin is below the @2D%1d@ dB threshold
Remedy: Clean or repl;
8240;Erreur de fonctionnement du composant réseau; @5W%t#ML-V2.25-Festo-CPX-20110809@;Error de función del componente de red; @5W%t#ML-V2.25-Festo-CPX-20110809@;Network component function mismatch; @5W%t#ML-V2.25-Festo-CPX-20110809@;
24624;Aide : erreur de fonctionnement du composant réseau; @5W%t#ML-V2.25-Festo-CPX-20;Ayuda: Error de función del componente de red; @5W%t#ML-V2.25-Festo-CPX-20110809;Help: Network component function mismatch; @5W%t#ML-V2.25-Festo-CPX-20110809@;
8304;Paquets de données rejetés pour surcharge;Debido a sobrecarga se han rechazado paquetes de datos;Data packets discarded due to overload;
24688;@2D%1d@ paquets de données au minimum ont été rejetés en raison d'un manque temp;Como mínimo @2D%1d@ paquetes de datos han sido rechazados por escasez de recurso;At least @2D%1d@ data packets were discarded due to a lack of resources.
Possibl;
8368;Erreur d'horloge; @5W%t#ML-V2.25-Festo-CPX-20110809@;Error de tiempo; @5W%t#ML-V2.25-Festo-CPX-20110809@;Time mismatch; @5W%t#ML-V2.25-Festo-CPX-20110809@;
24752;Aide : erreur de temporisation; @5W%t#ML-V2.25-Festo-CPX-20110809@;Ayuda: Error de tiempo; @5W%t#ML-V2.25-Festo-CPX-20110809@;Help: Time mismatch; @5W%t#ML-V2.25-Festo-CPX-20110809@;
8944;Configuration incohérente/Spécification du routeur par défaut;Configuración incoherente/especificación del gateway predeterminado;Inconsistent configuration / specification of the standard gateway;
25328;Un autre routeur par défaut a été configuré pour au moins une autre interface. 
;Se ha configurado un gateway predeterminado como mínimo para otro interface. Est;A standard gateway has been configured for at least one additional interface tha;
8945;Configuration incohérente/Spécification du NameOfStation;Configuración/especificación incoherente del nombre de dispositivo;Inconsistent configuration/specification of the NameOfStation;
25329;Un NameOfStation a déjà été configuré /attribué pour une autre interface de ce m;Para otra interfaz de este módulo ya se ha configurado/asignado un nombre de dis;A NameOfStation which is identical to the specification for this interface has a;
8946;Configuration incohérente/Spécification de l'adresse IP;Configuración/especificación incoherente de la dirección IP;Inconsistent configuration/specification of the IP address;
25330;Une adresse IP a déjà été configurée/attribuée pour une autre interface. Elle se;Para otra interfaz ya se ha configurado/asignado una dirección IP que se encuent;An IP address which is in the same subnet as the IP address of this interface ha;
11360;No error;No error;No error;
27744;Help;Help;Help;
11362;General diagnosis;General diagnosis;General diagnosis;
27746;Help;Help;Help;
11364;Short circuit;Short circuit;Short circuit;
27748;Help;Help;Help;
11366;Wire fracture/idling current I/O;Wire fracture/idling current I/O;Wire fracture/idling current I/O;
27750;Help;Help;Help;
11376;Short circuit in actuator supply;Short circuit in actuator supply;Short circuit in actuator supply;
27760;Help;Help;Help;
11378;Undervoltage in power supply;Undervoltage in power supply;Undervoltage in power supply;
27762;Help;Help;Help;
11380;Unknown CBUS error (6);Unknown CBUS error (6);Unknown CBUS error (6);
27764;Help;Help;Help;
11382;Unknown CBUS error (7);Unknown CBUS error (7);Unknown CBUS error (7);
27766;Help;Help;Help;
11392;Unknown CBUS error (8);Unknown CBUS error (8);Unknown CBUS error (8);
27776;Help;Help;Help;
11394;Lower limit exceeded;Lower limit exceeded;Lower limit exceeded;
27778;Help;Help;Help;
11396;Upper limit exceeded;Upper limit exceeded;Upper limit exceeded;
27780;Help;Help;Help;
11398;Short circuit valve;Short circuit valve;Short circuit valve;
27782;Help;Help;Help;
11408;Pilot valve function warning;Pilot valve function warning;Pilot valve function warning;
27792;Help;Help;Help;
11410;Wire fracture (open load);Wire fracture (open load);Wire fracture (open load);
27794;Help;Help;Help;
