//Nota: Este archivo de exportación en formato CSV no se debe abrir con un doble clic en el archivo.,,,,
//Por favor, abra este archivo con el comando Archivo > Abrir de MS-Excel,,,,
$_Languages,,,,
7(5) German (Liechtenstein),10(1) Spanish (Traditional Sort),9(1) English (United States),12(1) French (France),
10576,Error fibra óptica; @5W%t#A02A-SCALANCE_X200-20090303@,Fiber optics mismatch; @5W%t#A02A-SCALANCE_X200-20090303@,Erreur fibre optique; @5W%t#A02A-SCALANCE_X200-20090303@,
26960,Ayuda: Error fibra óptica; @5W%t#A02A-SC,Help: Fiber optics mismatch; @5W%t#A02A-,Aide : erreur fibre optique; @5W%t#A02A-,
11184,Reserva de sistema de fibra óptica crítica,FO link power margin critical,Réserve système FO critique,
27568,La reserva de sistema FO se encuentra po,The FO link power margin is below the @2,La réserve système FO se trouve en -dess,
11792,Error de función del componente de red; @5W%t#A02A-SCALANCE_X200-20090303@,Network component function mismatch; @5W%t#A02A-SCALANCE_X200-20090303@,Erreur de fonctionnement du composant réseau; @5W%t#A02A-SCALANCE_X200-20090303@,
28176,Ayuda: Error de función del componente d,Help: Network component function mismatc,Aide : erreur de fonctionnement du compo,
12400,Debido a sobrecarga se han rechazado paquetes de datos,Data packets discarded due to overload,Paquets de données rejetés pour surcharge,
28784,Como mínimo @2D%1d@ paquetes de datos ha,At least @2D%1d@ data packets were disca,@2D%1d@ paquets de données au minimum on,
13008,Error de tiempo; @5W%t#A02A-SCALANCE_X200-20090303@,Time mismatch; @5W%t#A02A-SCALANCE_X200-20090303@,Erreur d'horloge; @5W%t#A02A-SCALANCE_X200-20090303@,
29392,Ayuda: Error de tiempo; @5W%t#A02A-SCALA,Help: Time mismatch; @5W%t#A02A-SCALANCE,Aide : erreur de temporisation; @5W%t#A0,
2168,Configuración incoherente/especificación del gateway predeterminado,Inconsistent configuration / specification of the standard gateway,Configuration incohérente/Spécification du routeur par défaut,
18552,Se ha configurado un gateway predetermin,A standard gateway has been configured f,Un autre routeur par défaut a été config,
2169,Configuración/especificación incoherente del nombre de dispositivo,Inconsistent configuration/specification of the NameOfStation,Configuration incohérente/Spécification du NameOfStation,
18553,Para otra interfaz de este módulo ya se ,A NameOfStation which is identical to th,Un NameOfStation a déjà été configuré /a,
2170,Configuración/especificación incoherente de la dirección IP,Inconsistent configuration/specification of the IP address,Configuration incohérente/Spécification de l'adresse IP,
18554,Para otra interfaz ya se ha configurado/,An IP address which is in the same subne,Une adresse IP a déjà été configurée/att,
6576,sin alimentación el. redundante,No redundant PS,Pas d'alimentation redondante,
22960,Alarma entrante, si no existe alimentaci,Alarm entering state when there is no re,Alarme arrivante en l'absence d'alimenta,
6578,No existe C-PLUG,C-PLUG not found,C-PLUG introuvable,
22962,Alarma entrante, si no se ha enchufado C,Alarm entering state when no C-PLUG was ,Alarme arrivante en l'absence de C-PLUG,
6580,C-PLUG defectuoso,C-PLUG defective,C-PLUG défectueux,
22964,Alarma entrante, si el C-PLUG está defec,Alarm entering state when C-PLUG is defe,Alarme arrivante lorsque le C-PLUG est d,
6582,erróneo C-PLUG,wrong C-PLUG,Le C-PLUG est incorrect,
22966,Alarma entrante si se ha enchufado errón,Incoming alarm when wrong C-PLUG is plug,Alarme apparaissante si aucun C-PLUG n'a,
6024,,,,
22408,,,,
7240,Cortocircuito,Short circuit,Court-circuit,
23624,Compruebe el estado de las líneas de con,Check the status of the connection lines,Contrôlez l'état des câbles de liaison.,
8456,Baja tensión,Low voltage,Sous-tension,
24840,Compruebe la fuente de alimentación.,Verify the power supply.,Contrôlez l'alimentation en tension.,
9672,Sobretensión,Overvoltage,Surtension,
26056,Compruebe la fuente de alimentación.,Verify the power supply.,Contrôlez l'alimentation en tension.,
10888,Sobrecarga,Overload,Surcharge,
27272,Compruebe los datos técnicos de los comp,Check the technical specifications of th,Contrôlez les caractéristiques technique,
12104,Sobretemperatura,Overtemperature,Surchauffe,
28488,Compruebe los datos técnicos de los comp,Check the technical specifications of th,Contrôlez les caractéristiques technique,
13320,Rotura de hilo,Wire break,Rupture de fil,
29704,Compruebe el estado de las líneas de con,Check the status of the connection lines,Contrôlez l'état des câbles de liaison.,
14536,Límite superior excedido,High limit exceeded,Limite supérieure dépassée,
30920,Compruebe los datos técnicos de los comp,Check the technical specifications of th,Contrôlez les caractéristiques technique,
15752,Límite inferior excedido,Low limit exceeded,Limite inférieure sous-dépassée,
32136,Compruebe los datos técnicos de los comp,Check the technical specifications of th,Contrôlez les caractéristiques technique,
656,Fallo,Error,Erreur,
17040,,,,
1872,Simulación activa,Simulation active,Simulation active,
18256,,,,
3088,Reservado,Reserved,réservé,
19472,,,,
4304,Reservado,Reserved,réservé,
20688,,,,
5520,Reservado,Reserved,réservé,
21904,,,,
6736,Reservado,Reserved,réservé,
23120,,,,
7952,Falta el parámetro,Parameter missing,Paramètre manquant,
24336,,,,
9168,Error de parametrización,Parameter assignment error,Erreur de paramétrage,
25552,Causa: Parámetros de módulo incorrectos.,Cause: Bad module parameter. Remedy: Che,Cause : paramètres de module incorrects.,
10384,Falta tensión de sensores o de carga,Power supply fault,Absence de tension capteur ou de charge,
26768,Causa: Falta tensión de carga. Solución:,Cause: No power supply. Remedy: Check wi,Cause : absence de tension d'alimentatio,
11600,Fusible defectuoso,Fuse blown / open,Fusible defectueux,
27984,Causa: Sobrecarga. Solución: Eliminar la,Cause: Overload. Remedy: Remove cause of,Cause : surcharge. Solution : supprimez ,
12816,El slot no responde,Slot cannot be addressed,Emplacement non accessible,
29200,Causa: Error de comunicación de diferent,Cause: Communication error with various ,Cause : erreur de communication à cause ,
14032,Defecto a masa,Ground fault,Défaut à la masse,
30416,Causa: Tensión en modo común rebasada o ,Cause: Common mode voltage exceeded or M,Cause : dépassement de la tension mode c,
15248,Error del canal de referencia,Reference point list,Erreur de voie de référence,
31632,Causa: Error en el canal de referencia. ,Cause: Error on reference channel. Remed,Cause : erreur de voie de référence. Sol,
152,Alarma de proceso perdida,Process event lost / sampling error,Alarme de processus perdue,
16536,Causa: Alarma de proceso. Solución: Camb,Cause: Hardware interrupt. Remedy: Chang,Cause : alarme de processus. Solution : ,
1368,Advertencia de actuador,Threshold warning,Avertissement actionneur,
17752,Causa: El actuador notifica el rebase de,Cause: Actuator signaling a limit value ,Cause : actionneur signale un dépassemen,
2584,Desconexión de actuador,Output disabled,Coupure actionneur,
18968,Causa: Se ha detectado un problema con e,Cause: Problem detected on actuator. Rem,Cause : problème d'actionneur détecté. S,
3800,Desconexión orientada a seguridad,Safety event,Arrêt de sécurité,
20184,Causa: Se ha detectado un fallo en el ca,Cause: Error detected on channel. Remedy,Cause : erreur de voie détectée. Solutio,
5016,Error externo,External fault,Défaut externe,
21400,Causa: Se ha detectado un fallo en el se,Cause: Problem detected on sensor/actuat,Cause : Erreur de capteur/actionneur dét,
6232,Error no definido,Unidentified error,Défaut non spécifié,
22616,Causa: No se puede especificar con detal,Cause: Cannot be specified in greater de,Cause : ne peut être spécifiée. Solution,
7448,Reservado,Reserved,réservé,
23832,,,,
8664,Fallo 1 en actuador / sensor,Fault 1 in actuator/sensor,Erreur 1 dans actionneur / capteur,
25048,,,,
9880,Fallo 2 en actuador / sensor,Fault 2 in actuator/sensor,Erreur 2 dans actionneur / capteur,
26264,,,,
11096,Fallo temporal,Temporary error,Erreur temporaire,
27480,,,,
7392,Transferencia de datos imposible; @5W%t#ErrTextLibExPN@,Data transmission impossible; @5W%t#ErrTextLibExPN@,Transmission de données impossible; @5W%t#ErrTextLibExPN@,
23776,Ayuda: Transferencia de datos imposible;,Help: Data transmission impossible; @5W%,Aide : transmission de données impossibl,
8000,No hay conexión física en el puerto,No physical connection on port,Pas de connexion physique au port,
24384,Se ha configurado la vigilancia del puer,Port monitoring was configured, there is,Une surveillance de port a été configuré,
8001,Error en "Soporte de transferencia/dúplex",Error with "Transfer medium/duplex",Erreur pour "Support de transmission/Duplex",
24385,"Soporte de transferencia / dúplex" se h,"Transfer medium / duplex" was configure,"Support de transmission / Duplex" a été,
8002,Error al comprobar los datos de línea,Error during cable data check,Erreur à la vérification des données de câble,
24386,Causas posibles:
 - La longitud de línea,Possible causes:
 - The discovered cable,Causes possibles :
 - La longueur de câb,
8608,Error en el partner; @5W%t#ErrTextLibExPN@,Remote mismatch; @5W%t#ErrTextLibExPN@,Erreur partenaire; @5W%t#ErrTextLibExPN@,
24992,Ayuda: Error en el partner; @5W%t#ErrTex,Help: Remote mismatch; @5W%t#ErrTextLibE,Aide : erreur partenaire; @5W%t#ErrTextL,
9216,Partner incorrecto,Wrong partner,Partenaire incorrect,
25600,Se ha configurado una conexión de puerto,A port interconnection was configured bu,Une connexion de port a été configurée, ,
9217,Puerto partner erróneo,Wrong partner port,Port partenaire incorrect,
25601,Se ha configurado una conexión de puerto,A port interconnection was configured bu,Une connexion de port a été configurée, ,
9218,IRT (Top Performance) no es posible en este puerto,IRT (top performance) not possible at this port,IRT (Top Performance) impossible sur ce port,
25602,Causas posibles:
 - Otros errores de com,Possible causes:
 - Other communications,Causes possibles :
 - Autres erreurs de ,
9219,Incoherencia en "Soporte de transferencia / dúplex",Inconsistency in "transmission medium / duplex",Incohérence pour "Support de transmission / Duplex",
25603,Se ha configurado el "Medio de transmisi,"Transmission medium/duplex" was configu,"Support de transmission/Duplex" a été c,
9220,Incoherencia en la configuración MRP / cableado,Inconsistent MRP configuration / wiring,Incohérence de la configuration MRP / du câblage,
25604,Se ha configurado un dominio MRP, pero l,MRP domain was configured; the local set,Domaine MRP configuré ; la sélection loc,
9221,Imposible detectar el vecino,The neighbor could not be identified,Le voisin n'a pas pu être détecté,
25605,Se ha configurado una conexión de puerto,A port interconnection was configured bu,Une connexion de port a été configurée, ,
9222,Incoherencia en la configuración MRRT,Inconsistent MRRT configuration,Incohérence de la configuration MRRT,
25606,Se ha configurado la característica MRRT,The MRRT feature was configured; the loc,L'attribut MRRT  a été configuré; les op,
9223,Diferencia al determinar la longitud del cable,Difference in cable length measurement,Différence à la détermination de longueur de câble,
25607,Se ha configurado "Soporte de transferen,"Transmission medium / Duplex" was confi,"Support de transmission / Duplex" a été,
9368,El nombre del dominio Sync se utiliza repetidas veces,Sync domain name used more than once,Nom de domaine Sync utilisé plusieurs fois,
25752,En la subred Ethernet se han configurado,Two sync domains with the same name were,Deux domaines Sync de même nom ont été c,
9824,Error de redundancia de medios; @5W%t#ErrTextLibExPN@,Media redundancy mismatch; @5W%t#ErrTextLibExPN@,Erreur de redondance de supports de transmission; @5W%t#ErrTextLibExPN@,
26208,Ayuda: Redundancia de medios; @5W%t#ErrT,Help: Media redundancy mismatch; @5W%t#E,Aide : erreur de redondance de supports ,
10432,El manager de redundancia no puede asumir la función configurada.,Redundancy manager cannot adopt the configured role,Le gestionnaire de redondance ne peut pas assumer le rôle configuré.,
26816,Indica que el manager de redundancia asu,Indicates that the configured redundancy,Signifie que le gestionnaire de redondan,
10433,Anillo abierto,Ring opened,Anneau ouvert,
26817,Indica que el anillo se ha interrumpido ,Indicates that the ring has been interru,Indique que l'anneau est interrompu unil,
10434,Redundancia RT no garantizada,RT redundancy not effective,Redondance RT plus garantie,
26818,Indica que el anillo para la comunicació,Indicates that the ring is not closed fo,Indique que l'anneau n'est pas fermé pou,
10435,En el anillo se encuentran varios administradores de redundancia,There is more than one redundancy manager in the ring,Il existe plusieurs gestionnaires de redondance au sein de l'anneau,
26819,Indica que en el anillo se encuentran va,Indicates that more than one device in t,Indique que plusieurs appareils assument,
11040,Pérdida de sincronización; @5W%t#ErrTextLibExPN@,Sync mismatch; @5W%t#ErrTextLibExPN@,Perte de synchronisation; @5W%t#ErrTextLibExPN@,
27424,Ayuda: Pérdida de sincronización; @5W%t#,Help: Sync mismatch; @5W%t#ErrTextLibExP,Aide : perte de synchronisation; @5W%t#E,
11648,No se sincroniza el SyncSlave,Sync slave will not be synchronized,L'esclave Sync ne sera pas synchronisé,
28032,El equipo es un SyncSlave y no se sincro,The station is a sync slave and it is no,La station est un esclave Sync et n'est ,
11651,Equipo no síncrono,Station not synchronized,Station non synchrone,
28035,La sincronización está fuera del rango d,Synchronization is outside the range of ,La synchronisation se trouve hors de la ,
12256,Error de modo isócrono; @5W%t#ErrTextLibExPN@,Isochronous mode mismatch; @5W%t#ErrTextLibExPN@,Erreur de synchronisme d'horloge; @5W%t#ErrTextLibExPN@,
28640,Ayuda: Error de modo isócrono; @5W%t#Err,Help: Isochronous mode mismatch; @5W%t#E,Aide : erreur de synchronisme d'horloge;,
13472,Error CR multicast; @5W%t#ErrTextLibExPN@,Multicast CR mismatch; @5W%t#ErrTextLibExPN@,Erreur Multicast CR; @5W%t#ErrTextLibExPN@,
29856,Ayuda: Error CR multicast; @5W%t#ErrText,Help: Multicast CR mismatch; @5W%t#ErrTe,Aide : Erreur CR Multicast; @5W%t#ErrTex,
14688,Reservado; @5W%t#ErrTextLibExPN@,Reserved; @5W%t#ErrTextLibExPN@,réservé; @5W%t#ErrTextLibExPN@,
31072,Ayuda: Ayuda; @5W%t#ErrTextLibExPN@,Help: Reserved; @5W%t#ErrTextLibExPN@,Aide : réservée; @5W%t#ErrTextLibExPN@,
15904,Error fibra óptica; @5W%t#ErrTextLibExPN@,Fiber optics mismatch; @5W%t#ErrTextLibExPN@,Erreur fibre optique; @5W%t#ErrTextLibExPN@,
32288,Ayuda: Error fibra óptica; @5W%t#ErrText,Help: Fiber optics mismatch; @5W%t#ErrTe,Aide : erreur fibre optique; @5W%t#ErrTe,
200,Reserva de sistema de fibra óptica crítica,FO link power margin critical,Réserve système FO critique,
16584,La reserva de sistema FO se encuentra po,The FO link power margin is below the @2,La réserve système FO se trouve en -dess,
808,Error de función del componente de red; @5W%t#ErrTextLibExPN@,Network component function mismatch; @5W%t#ErrTextLibExPN@,Erreur de fonctionnement du composant réseau; @5W%t#ErrTextLibExPN@,
17192,Ayuda: Error de función del componente d,Help: Network component function mismatc,Aide : erreur de fonctionnement du compo,
1416,Debido a sobrecarga se han rechazado paquetes de datos,Data packets discarded due to overload,Paquets de données rejetés pour surcharge,
17800,Como mínimo @2D%1d@ paquetes de datos ha,At least @2D%1d@ data packets were disca,@2D%1d@ paquets de données au minimum on,
2024,Error de tiempo; @5W%t#ErrTextLibExPN@,Time mismatch; @5W%t#ErrTextLibExPN@,Erreur d'horloge; @5W%t#ErrTextLibExPN@,
18408,Ayuda: Error de tiempo; @5W%t#ErrTextLib,Help: Time mismatch; @5W%t#ErrTextLibExP,Aide : erreur de temporisation; @5W%t#Er,
7496,Configuración incoherente/especificación del gateway predeterminado,Inconsistent configuration / specification of the standard gateway,Configuration incohérente/Spécification du routeur par défaut,
23880,Se ha configurado un gateway predetermin,A standard gateway has been configured f,Un autre routeur par défaut a été config,
7497,Configuración/especificación incoherente del nombre de dispositivo,Inconsistent configuration/specification of the NameOfStation,Configuration incohérente/Spécification du NameOfStation,
23881,Para otra interfaz de este módulo ya se ,A NameOfStation which is identical to th,Un NameOfStation a déjà été configuré /a,
7498,Configuración/especificación incoherente de la dirección IP,Inconsistent configuration/specification of the IP address,Configuration incohérente/Spécification de l'adresse IP,
23882,Para otra interfaz ya se ha configurado/,An IP address which is in the same subne,Une adresse IP a déjà été configurée/att,
5304,,,,
21688,,,,
6520,Cortocircuito,Short circuit,Court-circuit,
22904,Compruebe el estado de las líneas de con,Check the status of the connection lines,Contrôlez l'état des câbles de liaison.,
7736,Baja tensión,Low voltage,Sous-tension,
24120,Compruebe la fuente de alimentación.,Verify the power supply.,Contrôlez l'alimentation en tension.,
8952,Sobretensión,Overvoltage,Surtension,
25336,Compruebe la fuente de alimentación.,Verify the power supply.,Contrôlez l'alimentation en tension.,
10168,Sobrecarga,Overload,Surcharge,
26552,Compruebe los datos técnicos de los comp,Check the technical specifications of th,Contrôlez les caractéristiques technique,
11384,Sobretemperatura,Overtemperature,Surchauffe,
27768,Compruebe los datos técnicos de los comp,Check the technical specifications of th,Contrôlez les caractéristiques technique,
12600,Rotura de hilo,Wire break,Rupture de fil,
28984,Compruebe el estado de las líneas de con,Check the status of the connection lines,Contrôlez l'état des câbles de liaison.,
13816,Límite superior excedido,High limit exceeded,Limite supérieure dépassée,
30200,Compruebe los datos técnicos de los comp,Check the technical specifications of th,Contrôlez les caractéristiques technique,
15032,Límite inferior excedido,Low limit exceeded,Limite inférieure sous-dépassée,
31416,Compruebe los datos técnicos de los comp,Check the technical specifications of th,Contrôlez les caractéristiques technique,
16248,Fallo,Error,Erreur,
32632,,,,
1152,Simulación activa,Simulation active,Simulation active,
17536,,,,
2368,Reservado,Reserved,réservé,
18752,,,,
3584,Reservado,Reserved,réservé,
19968,,,,
4800,Reservado,Reserved,réservé,
21184,,,,
6016,Reservado,Reserved,réservé,
22400,,,,
7232,Falta el parámetro,Parameter missing,Paramètre manquant,
23616,,,,
8448,Error parametrización,Parameter assignment error,Erreur de paramétrage,
24832,Causa posible: módulo defectuoso o param,Possible Cause: Module either not at all,Cause possible : Le module n'est pas par,
9664,Falta el conector flontal o la alimentación del sensor o la tensión de carga.,Front connector missing, sensor or load voltage missing,Le connecteur frontal, la tension de capteur ou de charge manque.,
26048,Causa posible: falta tensión de alimenta,Possible cause: Supply voltage missing o,Cause possible : La tension d'alimentati,
10880,Fusible defectuoso.,Fuse defective,Fusible défectueux.,
27264,Causa posible: fallo del fusible repuest,Possible Cause: User's replaceable fuse ,Cause possible : Le fusible échangeable ,
12096,Fallo de comunicación,Communication error,Erreur de communication,
28480,Causa posible: interrupción de la comuni,Possible Cause: Communication to the mod,Cause possible : Communication au module,
13312,Error de masa,Ground error,Erreur de masse,
29696,Causa posible: se ha excedido el modo Co,Possible Cause: Exceeding the allowable ,Cause possible : Dépassement du Common M,
14528,Error canal referencia,Reference channel error,Erreur sur voie de référence,
30912,Causa posible error en el canal de refer,Possible Cause: Error on the reference c,Cause possible : Erreur sur voie de réfé,
15744,Pérdida alarma de proceso o error de aviso,Process interrupt lost or message error,Alarme de processus perdue ou erreur de message,
32128,Causa posible: error de marco, error de ,Possible Cause: Frame error, parity erro,Cause possible : Erreur de cadre, erreur,
648,Advertencia,Warning,Avertissement,
17032,Causa posible: se han excedido los valor,Possible Cause: Exceeding the actuator l,Cause possible : Dépassement des seuils ,
1864,Desconexión,Shutoff,Arrêt,
18248,Causa posible: liberación del interrupto,Possible Cause: Trigger a line switch du,Cause possible : Déclenchement d'un disj,
3080,Desconexión de seguridad,Fail-safe shutoff,Arrêt de sécurité,
19464,Causa posible: liberación de desconexión,Possible Cause: Trigger for fail-safe sh,Cause possible : Présence d'un déclenche,
4296,Fallo externo,external error,Erreur externe,
20680,Causa posible: rotura de cable o cortoci,Possible Cause: Wire break or short circ,Cause possible : Rupture de fil ou court,
5512,Fallo indefinido,ambiguous error,Erreur indéfinie,
21896,Causa posible: proceso de aprendizaje en,Possible Cause: Teach-in process running,Cause possible : Une procédure d'apprent,
6728,Reservado,Reserved,réservé,
23112,,,,
7944,Fallo 1 en actuador / sensor,Fault 1 in actuator/sensor,Erreur 1 dans actionneur / capteur,
24328,,,,
9160,Fallo 2 en actuador / sensor,Fault 2 in actuator/sensor,Erreur 2 dans actionneur / capteur,
25544,,,,
10376,Canal no disponible temporalmente,Channel temporarily not available,Voie temporairement indisponible,
26760,Causa posible: calibración, actualizació,Possible cause: Calibration, firmware up,Cause possible : Calibrage, mise à jour ,
6672,Transferencia de datos imposible; @5W%t#ET200S-20091013@,Data transmission impossible; @5W%t#ET200S-20091013@,Transmission de données impossible; @5W%t#ET200S-20091013@,
23056,Ayuda: Transferencia de datos imposible;,Help: Data transmission impossible; @5W%,Aide : transmission de données impossibl,
7280,No hay conexión física en el puerto,No physical connection on port,Pas de connexion physique au port,
23664,Se ha configurado la vigilancia del puer,Port monitoring was configured, there is,Une surveillance de port a été configuré,
7281,Error en "Soporte de transferencia/dúplex",Error with "Transfer medium/duplex",Erreur pour "Support de transmission/Duplex",
23665,"Soporte de transferencia / dúplex" se h,"Transfer medium / duplex" was configure,"Support de transmission / Duplex" a été,
7282,Error al comprobar los datos de línea,Error during cable data check,Erreur à la vérification des données de câble,
23666,Causas posibles:
 - La longitud de línea,Possible causes:
 - The discovered cable,Causes possibles :
 - La longueur de câb,
7888,Error en el partner; @5W%t#ET200S-20091013@,Remote mismatch; @5W%t#ET200S-20091013@,Erreur partenaire; @5W%t#ET200S-20091013@,
24272,Ayuda: Error en el partner; @5W%t#ET200S,Help: Remote mismatch; @5W%t#ET200S-2009,Aide : erreur partenaire; @5W%t#ET200S-2,
8496,Partner incorrecto,Wrong partner,Partenaire incorrect,
24880,Se ha configurado una conexión de puerto,A port interconnection was configured bu,Une connexion de port a été configurée, ,
8497,Puerto partner erróneo,Wrong partner port,Port partenaire incorrect,
24881,Se ha configurado una conexión de puerto,A port interconnection was configured bu,Une connexion de port a été configurée, ,
8498,IRT (Top Performance) no es posible en este puerto,IRT (top performance) not possible at this port,IRT (Top Performance) impossible sur ce port,
24882,Causas posibles:
 - Otros errores de com,Possible causes:
 - Other communications,Causes possibles :
 - Autres erreurs de ,
8499,Incoherencia en "Soporte de transferencia / dúplex",Inconsistency in "transmission medium / duplex",Incohérence pour "Support de transmission / Duplex",
24883,Se ha configurado el "Medio de transmisi,"Transmission medium/duplex" was configu,"Support de transmission/Duplex" a été c,
8500,Incoherencia en la configuración MRP / cableado,Inconsistent MRP configuration / wiring,Incohérence de la configuration MRP / du câblage,
24884,Se ha configurado un dominio MRP, pero l,MRP domain was configured; the local set,Domaine MRP configuré ; la sélection loc,
8501,Imposible detectar el vecino,The neighbor could not be identified,Le voisin n'a pas pu être détecté,
24885,Se ha configurado una conexión de puerto,A port interconnection was configured bu,Une connexion de port a été configurée, ,
8502,Incoherencia en la configuración MRRT,Inconsistent MRRT configuration,Incohérence de la configuration MRRT,
24886,Se ha configurado la característica MRRT,The MRRT feature was configured; the loc,L'attribut MRRT  a été configuré; les op,
8503,Diferencia al determinar la longitud del cable,Difference in cable length measurement,Différence à la détermination de longueur de câble,
24887,Se ha configurado "Soporte de transferen,"Transmission medium / Duplex" was confi,"Support de transmission / Duplex" a été,
8648,El nombre del dominio Sync se utiliza repetidas veces,Sync domain name used more than once,Nom de domaine Sync utilisé plusieurs fois,
25032,En la subred Ethernet se han configurado,Two sync domains with the same name were,Deux domaines Sync de même nom ont été c,
9104,Error de redundancia de medios; @5W%t#ET200S-20091013@,Media redundancy mismatch; @5W%t#ET200S-20091013@,Erreur de redondance de supports de transmission; @5W%t#ET200S-20091013@,
25488,Ayuda: Redundancia de medios; @5W%t#ET20,Help: Media redundancy mismatch; @5W%t#E,Aide : erreur de redondance de supports ,
9712,El manager de redundancia no puede asumir la función configurada.,Redundancy manager cannot adopt the configured role,Le gestionnaire de redondance ne peut pas assumer le rôle configuré.,
26096,Indica que el manager de redundancia asu,Indicates that the configured redundancy,Signifie que le gestionnaire de redondan,
9713,Anillo abierto,Ring opened,Anneau ouvert,
26097,Indica que el anillo se ha interrumpido ,Indicates that the ring has been interru,Indique que l'anneau est interrompu unil,
9714,Redundancia RT no garantizada,RT redundancy not effective,Redondance RT plus garantie,
26098,Indica que el anillo para la comunicació,Indicates that the ring is not closed fo,Indique que l'anneau n'est pas fermé pou,
9715,En el anillo se encuentran varios administradores de redundancia,There is more than one redundancy manager in the ring,Il existe plusieurs gestionnaires de redondance au sein de l'anneau,
26099,Indica que en el anillo se encuentran va,Indicates that more than one device in t,Indique que plusieurs appareils assument,
10320,Pérdida de sincronización; @5W%t#ET200S-20091013@,Sync mismatch; @5W%t#ET200S-20091013@,Perte de synchronisation; @5W%t#ET200S-20091013@,
26704,Ayuda: Pérdida de sincronización; @5W%t#,Help: Sync mismatch; @5W%t#ET200S-200910,Aide : perte de synchronisation; @5W%t#E,
10928,No se sincroniza el SyncSlave,Sync slave will not be synchronized,L'esclave Sync ne sera pas synchronisé,
27312,El equipo es un SyncSlave y no se sincro,The station is a sync slave and it is no,La station est un esclave Sync et n'est ,
10931,Equipo no síncrono,Station not synchronized,Station non synchrone,
27315,La sincronización está fuera del rango d,Synchronization is outside the range of ,La synchronisation se trouve hors de la ,
11536,Error de modo isócrono; @5W%t#ET200S-20091013@,Isochronous mode mismatch; @5W%t#ET200S-20091013@,Erreur de synchronisme d'horloge; @5W%t#ET200S-20091013@,
27920,Ayuda: Error de modo isócrono; @5W%t#ET2,Help: Isochronous mode mismatch; @5W%t#E,Aide : erreur de synchronisme d'horloge;,
12752,Error CR multicast; @5W%t#ET200S-20091013@,Multicast CR mismatch; @5W%t#ET200S-20091013@,Erreur Multicast CR; @5W%t#ET200S-20091013@,
29136,Ayuda: Error CR multicast; @5W%t#ET200S-,Help: Multicast CR mismatch; @5W%t#ET200,Aide : Erreur CR Multicast; @5W%t#ET200S,
13968,Reservado; @5W%t#ET200S-20091013@,Reserved; @5W%t#ET200S-20091013@,réservé; @5W%t#ET200S-20091013@,
30352,Ayuda: Ayuda; @5W%t#ET200S-20091013@,Help: Reserved; @5W%t#ET200S-20091013@,Aide : réservée; @5W%t#ET200S-20091013@,
15184,Error fibra óptica; @5W%t#ET200S-20091013@,Fiber optics mismatch; @5W%t#ET200S-20091013@,Erreur fibre optique; @5W%t#ET200S-20091013@,
31568,Ayuda: Error fibra óptica; @5W%t#ET200S-,Help: Fiber optics mismatch; @5W%t#ET200,Aide : erreur fibre optique; @5W%t#ET200,
15792,Reserva de sistema de fibra óptica crítica,FO link power margin critical,Réserve système FO critique,
32176,La reserva de sistema FO se encuentra po,The FO link power margin is below the @2,La réserve système FO se trouve en -dess,
88,Error de función del componente de red; @5W%t#ET200S-20091013@,Network component function mismatch; @5W%t#ET200S-20091013@,Erreur de fonctionnement du composant réseau; @5W%t#ET200S-20091013@,
16472,Ayuda: Error de función del componente d,Help: Network component function mismatc,Aide : erreur de fonctionnement du compo,
696,Debido a sobrecarga se han rechazado paquetes de datos,Data packets discarded due to overload,Paquets de données rejetés pour surcharge,
17080,Como mínimo @2D%1d@ paquetes de datos ha,At least @2D%1d@ data packets were disca,@2D%1d@ paquets de données au minimum on,
1304,Error de tiempo; @5W%t#ET200S-20091013@,Time mismatch; @5W%t#ET200S-20091013@,Erreur d'horloge; @5W%t#ET200S-20091013@,
17688,Ayuda: Error de tiempo; @5W%t#ET200S-200,Help: Time mismatch; @5W%t#ET200S-200910,Aide : erreur de temporisation; @5W%t#ET,
6776,Configuración incoherente/especificación del gateway predeterminado,Inconsistent configuration / specification of the standard gateway,Configuration incohérente/Spécification du routeur par défaut,
23160,Se ha configurado un gateway predetermin,A standard gateway has been configured f,Un autre routeur par défaut a été config,
6777,Configuración/especificación incoherente del nombre de dispositivo,Inconsistent configuration/specification of the NameOfStation,Configuration incohérente/Spécification du NameOfStation,
23161,Para otra interfaz de este módulo ya se ,A NameOfStation which is identical to th,Un NameOfStation a déjà été configuré /a,
6778,Configuración/especificación incoherente de la dirección IP,Inconsistent configuration/specification of the IP address,Configuration incohérente/Spécification de l'adresse IP,
23162,Para otra interfaz ya se ha configurado/,An IP address which is in the same subne,Une adresse IP a déjà été configurée/att,
3240,,,,
19624,,,,
4456,Cortocircuito,Short circuit,Court-circuit,
20840,Compruebe el estado de las líneas de con,Check the status of the connection lines,Contrôlez l'état des câbles de liaison.,
5672,Baja tensión,Low voltage,Sous-tension,
22056,Compruebe la fuente de alimentación.,Verify the power supply.,Contrôlez l'alimentation en tension.,
6888,Sobretensión,Overvoltage,Surtension,
23272,Compruebe la fuente de alimentación.,Verify the power supply.,Contrôlez l'alimentation en tension.,
8104,Sobrecarga,Overload,Surcharge,
24488,Compruebe los datos técnicos de los comp,Check the technical specifications of th,Contrôlez les caractéristiques technique,
9320,Sobretemperatura,Overtemperature,Surchauffe,
