//Nota : Ce fichier d'exportation au format CSV ne doit pas être ouvert par double clic sur le fichier !;;;
//Veuillez ouvrir ce fichier via la commande de menu Fichier > Ouvrir de MS-Excel;;;
$_Languages;;;
7(5) Allemand (Liechtenstein);12(1) Français (France);9(1) Anglais (États-Unis);
30344;Cause : ne peut être spécifiée. Solution;Cause: Cannot be specified in greater de;
14088;réservé;Reserved;
30472;;;
14216;Erreur 1 dans actionneur / capteur;Fault 1 in actuator/sensor;
30600;;;
14344;Erreur 2 dans actionneur / capteur;Fault 2 in actuator/sensor;
30728;;;
14472;Erreur temporaire;Temporary error;
30856;;;
10576;Linkup illicite;Illegal linkup;
26960;Etat de connexion différent des spécific;Link status different from setting in pa;
10704;Linkdown illicite;Illegal linkdown;
27088;Etat de connexion différent des spécific;Link status different from setting in pa;
10832;Vitesse de transmission illicite;Illegal transmission rate;
27216;Vitesse de transmission différente des s;Transmission rate different from setting;
10960;Duplexity illicite;Illegal duplexity;
27344;Duplexity différente des spécifications ;Duplexity different from setting in para;
11088;Surcharge de trames;Frame overload;
27472;Les télégrammes rejetés dépassent le seu;More or less discarded frames than set a;
10648;Transmission de données impossible; @5W%t#A02A-SCALANCE_X200-20090303@;Data transmission impossible; @5W%t#A02A-SCALANCE_X200-20090303@;
27032;Aide : transmission de données impossibl;Help: Data transmission impossible; @5W%;
10712;Pas de connexion physique au port;No physical connection on port;
27096;Une surveillance de port a été configuré;Port monitoring was configured, there is;
10713;Erreur pour "Support de transmission/Duplex";Error with "Transfer medium/duplex";
27097;"Support de transmission / Duplex" a été;"Transfer medium / duplex" was configure;
10714;Erreur lors du test de longueur de câble;Error in cable length check;
27098;Causes possibles :
 - La longueur de câb;Possible causes:
 - The detected cable l;
10776;Erreur partenaire; @5W%t#A02A-SCALANCE_X200-20090303@;Remote mismatch; @5W%t#A02A-SCALANCE_X200-20090303@;
27160;Aide : erreur partenaire; @5W%t#A02A-SCA;Help: Remote mismatch; @5W%t#A02A-SCALAN;
10840;Partenaire incorrect;Wrong partner;
27224;Une connexion de port a été configurée, ;A port interconnection was configured bu;
10841;Port partenaire incorrect;Wrong partner port;
27225;Une connexion de port a été configurée, ;A port interconnection was configured bu;
10842;IRT (Top Performance) impossible sur ce port;IRT (top performance) not possible at this port;
27226;Causes possibles :
 - Autres erreurs de ;Possible causes:
 - Other communications;
10843;Incohérence pour "Support de transmission / Duplex";Inconsistency in "transmission medium / duplex";
27227;"Support de transmission/Duplex" a été c;"Transmission medium/duplex" was configu;
10844;Incohérence de la configuration MRP / du câblage;Inconsistent MRP configuration / wiring;
27228;Domaine MRP configuré ; la sélection loc;MRP domain was configured; the local set;
10845;Le voisin n'a pas pu être détecté;The neighbor could not be identified;
27229;Une connexion de port a été configurée, ;A port interconnection was configured bu;
10846;Incohérence de la configuration MRRT;Inconsistent MRRT configuration;
27230;L'attribut MRRT  a été configuré; les op;The MRRT feature was configured; the loc;
10847;Différence à la détermination de longueur de câble;Difference in cable length measurement;
27231;"Support de transmission / Duplex" a été;"Transmission medium / Duplex" was confi;
10856;Nom de domaine Sync utilisé plusieurs fois;Sync domain name used more than once;
27240;Deux domaines Sync de même nom ont été c;Two sync domains with the same name were;
10904;Erreur de redondance de supports de transmission; @5W%t#A02A-SCALANCE_X200-20090303@;Media redundancy mismatch; @5W%t#A02A-SCALANCE_X200-20090303@;
27288;Aide : erreur de redondance de supports ;Help: Media redundancy mismatch; @5W%t#A;
10968;Le gestionnaire de redondance ne peut pas assumer le rôle configuré.;Redundancy manager cannot adopt the configured role;
27352;Signifie que le gestionnaire de redondan;Indicates that the configured redundancy;
10969;Anneau ouvert;Ring opened;
27353;Indique que l'anneau est interrompu unil;Indicates that the ring has been interru;
10970;Redondance RT plus garantie;RT redundancy not effective;
27354;Indique que l'anneau n'est pas fermé pou;Indicates that the ring is not closed fo;
10971;Il existe plusieurs gestionnaires de redondance au sein de l'anneau;There is more than one redundancy manager in the ring;
27355;Indique que plusieurs appareils assument;Indicates that more than one device in t;
11032;Perte de synchronisation; @5W%t#A02A-SCALANCE_X200-20090303@;Sync mismatch; @5W%t#A02A-SCALANCE_X200-20090303@;
27416;Aide : perte de synchronisation; @5W%t#A;Help: Sync mismatch; @5W%t#A02A-SCALANCE;
11096;L'esclave Sync ne sera pas synchronisé;Sync slave will not be synchronized;
27480;La station est un esclave Sync et n'est ;The station is a sync slave and it is no;
11099;Station non synchrone;Station not synchronized;
27483;La synchronisation se trouve hors de la ;Synchronization is outside the range of ;
11160;Erreur de synchronisme d'horloge; @5W%t#A02A-SCALANCE_X200-20090303@;Isochrone mode mismatch; @5W%t#A02A-SCALANCE_X200-20090303@;
27544;Aide : erreur de synchronisme d'horloge;;Help: Isochrone mode mismatch; @5W%t#A02;
11288;Erreur Multicast CR; @5W%t#A02A-SCALANCE_X200-20090303@;Multicast CR mismatch; @5W%t#A02A-SCALANCE_X200-20090303@;
27672;Aide : Erreur CR Multicast; @5W%t#A02A-S;Help: Multicast CR mismatch; @5W%t#A02A-;
11416;réservé; @5W%t#A02A-SCALANCE_X200-20090303@;Reserved; @5W%t#A02A-SCALANCE_X200-20090303@;
27800;Aide : réservée; @5W%t#A02A-SCALANCE_X20;Help: Reserved; @5W%t#A02A-SCALANCE_X200;
11544;Erreur fibre optique; @5W%t#A02A-SCALANCE_X200-20090303@;Fiber optics mismatch; @5W%t#A02A-SCALANCE_X200-20090303@;
27928;Aide : erreur fibre optique; @5W%t#A02A-;Help: Fiber optics mismatch; @5W%t#A02A-;
11608;Réserve système FO critique;FO link power margin critical;
27992;La réserve système FO se trouve en -dess;The FO link power margin is below the @2;
11672;Erreur de fonctionnement du composant réseau; @5W%t#A02A-SCALANCE_X200-20090303@;Network component function mismatch; @5W%t#A02A-SCALANCE_X200-20090303@;
28056;Aide : erreur de fonctionnement du compo;Help: Network component function mismatc;
11736;Paquets de données rejetés pour surcharge;Data packets discarded due to overload;
28120;@2D%1d@ paquets de données au minimum on;At least @2D%1d@ data packets were disca;
11800;Erreur d'horloge; @5W%t#A02A-SCALANCE_X200-20090303@;Time mismatch; @5W%t#A02A-SCALANCE_X200-20090303@;
28184;Aide : erreur de temporisation; @5W%t#A0;Help: Time mismatch; @5W%t#A02A-SCALANCE;
12840;Pas d'alimentation redondante;No redundant PS;
29224;Alarme arrivante en l'absence d'alimenta;Alarm entering state when there is no re;
12842;C-PLUG introuvable;C-PLUG not found;
29226;Alarme arrivante en l'absence de C-PLUG;Alarm entering state when no C-PLUG was ;
12844;C-PLUG défectueux;C-PLUG defective;
29228;Alarme arrivante lorsque le C-PLUG est d;Alarm entering state when C-PLUG is defe;
12846;Le C-PLUG est incorrect;wrong C-PLUG;
29230;Alarme apparaissante si aucun C-PLUG n'a;Incoming alarm when wrong C-PLUG is plug;
